NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_01_14_a135_seg17_s5;11;;;;;;;;x;;;;;;;;;;;;x;;;;zu amüsieren wissen
NZZ_1993_02_13_a138_seg2_s4;50;;;;x;;;;;;;;;;;;;;inanim;;;;STM_coordination;;
NZZ_1993_02_13_a216_seg2_s11;15;;;;;;;;x;;;;;;;;;;;;;;ambiguous;transitive refl possible;
NZZ_1993_02_13_a65_seg6_s33;9;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_02_15_a116_seg2_s9;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_02_20_a131_seg3_s12;16;;;;;;;;x;;;;;;;;;;;bei;;;;;
NZZ_1993_02_24_a107_seg7_s4;3;;;;;;;;x;;;;;;;;;;;;;;ambiguous;comitative mit-PP?;
NZZ_1993_03_05_a94_seg5_s10;26;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_03_20_a59_seg4_s4;39;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_03_29_a130_seg1_s393;4;;;;;;;;x;;;;;;;;;;;;;;title;;
NZZ_1993_04_03_a40_seg2_s11;24;;;x;;;;;;;;;;;;;;;anim;;;;metaphoric_STM,;instrumental?;anim for our purposes
NZZ_1993_04_05_a169_seg5_s6;6;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_04_10_a166_seg2_s86;4;;;;;;;;x;;;;;;;;;;;mit;;;pronominal_adverb;instrumental;instrumental
NZZ_1993_04_26_a28_seg2_s16;27;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_05_14_a45_seg2_s2;5;;;;;;;;x;;;;;;;;;;;bei;;;;;
NZZ_1993_05_14_a50_seg5_s19;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_05_17_a165_seg2_s10;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_06_04_a55_seg5_s4;5;;;;;;;;x;;;;;;;;;;;;;;;;probably Publikum
NZZ_1993_06_23_a80_seg3_s7;12;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_06_24_a84_seg5_s2;19;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_07_10_a79_seg6_s13;25;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_07_20_a149_seg2_s3;38;;;;x;;;;;;;;;;;;;;inanim;;;;;;wollen: control?
NZZ_1993_08_05_a204_seg2_s11;5;;;;x;;;;;;;;;;;;;;inanim;;x;;;vermögen;vermögen
NZZ_1993_09_09_a216_seg3_s5;14;;;;;;;;x;;;;;;;;;;;;x;;;;
NZZ_1993_09_09_a221_seg2_s16;21;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_09_11_a68_seg5_s9;27;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_09_13_a53_seg1_s19;3;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental;Publikum
NZZ_1993_09_24_a47_seg2_s13;23;;;;;;;;x;;;;;;;;;;;bei;;;;;Gesellschaft
NZZ_1993_10_01_a41_seg11_s3;22;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1993_10_12_a52_seg2_s19;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_12_03_a32_seg2_s1;20;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_12_10_a96_seg39_s10;7;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1993_12_21_a93_seg2_s9;6;;;;;;;;x;;;;;;;;;;;ob;;;pronominal_adverb, fragment;;
NZZ_1994_01_03_a77_seg3_s1;37;;;;;;;;x;;;;;;;;;;;;;;STM_coordination;;
NZZ_1994_01_22_a144_seg6_s19;25;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_01_24_a96_seg5_s26;3;;;;;;;;x;;;;;;;;;;;;;;title, result_PP;;zu Tode
NZZ_1994_02_10_a211_seg7_s2;29;;;;;;;;x;;;;;;;;;;;;;;;;wollen
NZZ_1994_02_12_a183_seg21_s7;4;;;;;;;;x;;;;;;;;;;;;;;EXP_anim_proxy;;Kongress
NZZ_1994_02_16_a105_seg3_s9;27;;;;x;;;;;;;;;;;;;;anim;;x;;;instrumental;
NZZ_1994_02_19_a88_seg4_s1;11;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_03_04_a208_seg6_s6;54;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_03_09_a104_seg7_s4;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_03_11_a132_seg3_s10;3;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_04_08_a215_seg6_s5;16;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_04_15_a116_seg7_s19;3;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_04_15_a195_seg2_s14;23;;;x;;;;;;;;;;;;;;;anim;;;;ambiguous;instrumental, transitive reflexive;
NZZ_1994_04_23_a117_seg15_s4;54;;;;;;;;x;;;;;;;;;;;;;;;;als
NZZ_1994_05_05_a131_seg4_s14;27;;;;;;;;x;;;;;;;;;;;;;;;;Klasse
NZZ_1994_05_06_a199_seg3_s14;5;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_05_14_a111_seg2_s4;9;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_05_16_a78_seg3_s12;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;Publikum
NZZ_1994_06_17_a214_seg4_s2;14;;;;;;;;x;;;;;;;;;;;;;;;;wollen
NZZ_1994_06_20_a67_seg6_s17;14;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_06_21_a20_seg2_s6;42;;;x;;;;;;;;;;;;;;;inanim;;;;metonymic_EXP;;
NZZ_1994_06_25_a134_seg11_s6;2;;;;;;;;;;x;;;;;;;;;über;;;;;
NZZ_1994_06_28_a112_seg5_s9;18;;;;;;;;x;;;;;;;;;;;über;;;;;Publikum
NZZ_1994_06_28_a4_seg6_s9;35;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_07_25_a94_seg11_s5;1;;;;;;;;x;;;;;;;;;;;;;;fragment;;
NZZ_1994_08_02_a97_seg3_s4;10;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_08_19_a19_seg3_s6;15;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_08_20_a96_seg3_s2;7;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_08_30_a173_seg5_s13;21;;;;;;;;x;;;;;;;;;;;ob;;;;;
NZZ_1994_09_03_a144_seg3_s6;35;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_09_03_a194_seg3_s9;29;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_09_13_a172_seg3_s18;39;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_09_23_a185_seg8_s4;19;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_10_01_a126_seg16_s13;4;;;;;;;;x;;;;;;;;;;;;;;ambiguous;instrumental;
NZZ_1994_10_15_a91_seg3_s8;30;;;x;;;;;;;;;;;;;;;anim;;;;ambiguous, STM_coordination;instrumental?, NZZ;Menge
NZZ_1994_10_24_a88_seg7_s9;32;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_11_04_a201_seg48_s16;16;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_11_05_a196_seg3_s32;23;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_11_09_a132_seg2_s8;12;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_11_16_a122_seg8_s5;42;;;;;;;;x;;;;;;;;;;;;;;;;subject dropped
NZZ_1994_11_24_a165_seg10_s25;20;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_11_24_a165_seg10_s8;4;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_11_24_a183_seg7_s22;9;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_12_03_a143_seg3_s26;24;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_12_06_a137_seg3_s24;8;;;x;;;;;;;;;;;;;;;anim;;;;;;generic EXP, agentive?
NZZ_1994_12_30_a145_seg2_s17;22;;;;;;;;x;;;;;;;;;;;;x;;;;
NZZ_1995_01_06_a110_seg3_s9;54;;;;;;;;x;;;;;;;;;;;über;;;metaphoric_EXP;;
NZZ_1995_02_08_a149_seg3_s11;21;;;;;;;;x;;;;;;;;;;;über;;;;;
