NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_02_11_a180_seg3_s9;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_02_19_a117_seg3_s24;17;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_02_25_a188_seg41_s3;3;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_03_06_a52_seg18_s1;8;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_03_10_a68_seg12_s1;20;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_03_13_a63_seg6_s6;15;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_03_24_a124_seg3_s1;11;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_19_a66_seg8_s2;6;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_21_a105_seg3_s15;21;;;;x;;;;;;;;;;;;;;ambiguous;;;;;Spieler?;probably the coach
NZZ_1993_04_26_a30_seg3_s5;15;x;;;;;;;;;;;;;;;;;;;;;fragment;;
NZZ_1993_05_22_a79_seg10_s25;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es, ambiguous;;an-PP could also be stimulus-PP
NZZ_1993_05_24_a46_seg3_s6;5;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_05_26_a51_seg3_s31;9;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_07_08_a119_seg1_s40;23;;;;x;;;;;;;;;;;;;;anim;mit;;;;;agentive?
NZZ_1993_07_08_a43_seg2_s18;4;;;;x;;;;;;;;;;;;;;propositional;an;;;;;proposition-based w-clause
NZZ_1993_07_28_a135_seg2_s2;10;;;x;;;;;;;;;;;;;;;anim;durch;;;;;inanim durch-PP
NZZ_1993_07_31_a87_seg8_s12;14;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_08_09_a32_seg2_s4;6;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_08_21_a92_seg2_s8;18;;;;x;;;;;;;;;;;;;;anim;;x;;;;control in adjectival context, *Es ist bestrebt zu regnen, *Dem/der Junge ist bestrebt, geholfen zu werden, Der Junge ist bestrebt, den Lehrer zu unterstützen != Der Lehrer ist bestrebt, vom Jungen unterstützt zu werden
NZZ_1993_08_30_a37_seg6_s7;7;;;;x;;;;;;;;;;;;;;anim;durch;;;;;inanim durch-PP
NZZ_1993_10_02_a165_seg3_s15;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_10_06_a7_seg10_s3;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_10_07_a162_seg5_s3;2;;;;x;;;;;;;;;;;;;;propositional;;;;;;proposition-based w-clause
NZZ_1993_10_08_a186_seg3_s4;4;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_10_12_a37_seg6_s17;14;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_10_13_a94_seg11_s5;11;;;;x;;;;;;;;;;;;;;anim_proxy;durch;;;;;inanim durch-PP
NZZ_1993_10_19_a190_seg2_s6;4;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_12_03_a87_seg9_s17;13;;;;x;;;;;;;;;;;;;;anim_proxy;;;;;;positiv auffallen, the fact that the perfect auxiliary is sein speaks against an analysis as an EO-verb: intransitive + optional free dative
NZZ_1993_12_09_a103_seg2_s2;7;;;;;;;;;;x;;;;;;;;;durch;;;;;inanim durch-PP
NZZ_1993_12_22_a2_seg4_s1;9;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_01_20_a159_seg9_s1;9;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_01_20_a31_seg6_s4;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1994_02_15_a171_seg3_s8;24;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_02_16_a127_seg8_s2;18;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_03_05_a32_seg4_s6;8;;;x;;;;;;;;;;;;;;;ambiguous;;;;;propositional?;
NZZ_1994_03_09_a38_seg5_s1;20;;;;x;;;;;;;;;;;;;;inanim;durch;;;;;inanim durch-PP
NZZ_1994_04_02_a239_seg4_s20;5;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_04_09_a131_seg2_s10;3;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_04_18_a149_seg3_s17;5;;;;x;;;;;;;;;;;;;;anim;;;;;;negativ auffallen
NZZ_1994_05_02_a97_seg3_s27;11;;;;x;;;;;;;;;;;;;;anim;;;;;;negativ auffallen
NZZ_1994_05_06_a193_seg2_s18;2;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_06_11_a151_seg13_s1;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1994_07_16_a185_seg8_s4;9;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_08_02_a118_seg4_s5;16;;;x;;;;;;;;;;;;;;;inanim;wegen;;;;;
NZZ_1994_08_10_a96_seg13_s1;14;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_08_12_a102_seg4_s4;39;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_09_15_a28_seg9_s9;10;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_09_15_a67_seg3_s5;31;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_09_24_a117_seg11_s15;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_09_26_a37_seg10_s15;2;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_09_30_a115_seg4_s9;6;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_10_14_a157_seg6_s7;12;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_10_15_a192_seg3_s18;2;;;;x;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1994_10_27_a2_seg3_s22;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1994_11_19_a178_seg3_s18;8;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_12_21_a170_seg16_s11;41;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;
NZZ_1995_02_08_a71_seg1_s5;35;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_02_18_a214_seg3_s10;17;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_02_21_a114_seg8_s4;9;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1995_02_27_a128_seg3_s9;6;;;;x;;;;;;;;;;;;;;anim;durch;;;;;inanim durch-PP
NZZ_1995_03_01_a134_seg3_s24;6;;;;x;;;;;;;;;;;;;;propositional;in;;;;;
