NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_06_a50_seg2_s1;13;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1993_07_16_a29_seg10_s4;43;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1993_04_26_a6_seg3_s6;46;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;Öffentlichkeit;
NZZ_1993_08_04_a36_seg3_s7;5;;;;;;;;;;x;;;;;;;;;von;;;;inanim von-PP;
NZZ_1993_12_21_a45_seg3_s29;2;;;;;;;;;x;;;;;;;;;;von;;;;inanim von-PP;
NZZ_1993_01_15_a28_seg7_s2;27;;x;;;;x;;;;;;;;;;;;;durch;;;;;
NZZ_1993_01_19_a66_seg12_s18;22;;x;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_06_05_a16_seg15_s7;27;;x;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1993_05_27_a91_seg3_s3;7;;;;;;;;;;x;;;;;;;;;von;;;EXP_anim_proxy;inanim von-PP;
NZZ_1993_05_28_a29_seg2_s2;10;;;;x;;;;;;;;;;;;;;inanim;;;;;PA?;
NZZ_1993_03_06_a63_seg2_s18;12;;;;;;;;;;x;;;;;;;;;;;;;adverbial;
NZZ_1993_11_09_a178_seg9_s5;5;;;;;x;;;;;;;;;;;;;;;;;;innerlich aufgewühlt;
NZZ_1993_11_16_a41_seg1_s12;8;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;Öffentlichkeit;
NZZ_1993_11_16_a57_seg2_s1;32;;;x;;;;;;;;;;;;;;;inanim;;;;;Dass-clause inside apposition → not PA;
