NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_04_07_a15_seg6_s1;26;;x;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous, STM_coordination, EXP_anim_proxy;psych? One could argue that „das Land“ is a metonymic_EXP but it seems to me that the pressure is economic, not psychologic;
NZZ_1993_04_14_a120_seg8_s6;17;;x;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous, EXP_anim_proxy;psych?;
NZZ_1993_08_19_a3_seg4_s3;39;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun, STM_coordination;;
NZZ_1993_01_05_a136_seg5_s9;35;;;x;;;;;;;;;;;;;;;inanim;;;;polysemous, psych_ambiguous;;
NZZ_1993_01_23_a154_seg2_s20;2;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1993_06_19_a100_seg5_s14;10;;;;;;;;;;x;;;;;;;;;;;;;in coordination with an adjective;
NZZ_1993_05_04_a121_seg12_s8;16;;x;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1993_03_13_a91_seg10_s25;17;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_03_20_a81_seg11_s25;17;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1993_03_20_a96_seg3_s20;3;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;Problem, +A?;
NZZ_1993_03_25_a90_seg2_s2;22;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1993_11_06_a82_seg6_s11;23;;;;;;x;;;;;;;;;;;;;durch;;;psych_ambiguous;psych?;
NZZ_1993_10_02_a116_seg2_s34;15;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_10_13_a127_seg6_s5;2;;;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;;
NZZ_1993_10_14_a84_seg3_s8;14;;;;;;x;;;;;;;;;;;;;von;;;;inanim von-PP;
NZZ_1994_03_31_a51_seg9_s4;3;;;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;polysemous?, Problem. „bedrücken“ only means „put someone under pressure“. In this case it can be psychological as well as economic pressure. (interesting);
NZZ_1994_12_02_a174_seg5_s18;3;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_01_27_a22_seg5_s5;48;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;no STM_coordination because the stimulus is a (non-coordinated) pronoun;
NZZ_1994_07_23_a210_seg3_s6;27;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C,psych_ambiguous;Psych? polysemous?, Problem, Menschheit;
NZZ_1994_06_17_a214_seg4_s2;23;;;x;;;;;;;;;;;;;;;clash of coordinations;;;;;;
NZZ_1994_06_25_a229_seg3_s7;12;;;x;;;;;;;;;;;;;;;inanim;;;;;coordinative construction;
NZZ_1994_03_05_a119_seg3_s1;38;;;x;;;;;;;;;;;;;;;inanim;;;;metonymic_EXP;;
NZZ_1994_03_09_a109_seg3_s15;38;;;;;;x;;;;;;;;;;;;;von;;;psych_ambiguous;polysemous? Non-psych? Inanim von-PP, could also be copula + adjective;
NZZ_1994_03_12_a216_seg3_s36;8;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1994_10_22_a72_seg2_s6;22;;x;x;;;;;;;;;;;;;;;propositional;;;;psych_ambiguous;psych?;
NZZ_1994_09_17_a34_seg8_s5;3;;x;x;;;;;;;;;;;;;;;inanim;;;;;psych?;
NZZ_1995_08_29_a97_seg9_s7;4;;;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;;
NZZ_1995_12_07_a33_seg6_s15;30;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1995_12_13_a25_seg6_s7;11;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;Non-psych? Polysemous?;
NZZ_1995_02_08_a3_seg10_s4;33;;;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;polysemous? Problem;
NZZ_1995_02_11_a135_seg29_s13;6;;;x;;;;;;;;;;;;;;;anim;;;;psych_ambiguous;;
NZZ_1995_01_28_a209_seg14_s72;41;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_06_28_a172_seg4_s12;3;;;x;;;;;;;;;;;;;;;inanim;wegen;;;;psych_ambiguous?;
NZZ_1995_05_13_a34_seg9_s10;56;;;x;;;;;;;;;;;;;;;ambiguous;;;;psych_ambiguous;inanim or propositional;
NZZ_1995_03_11_a31_seg13_s1;3;;;x;;;;;;;;;;;;;;;inanim;;;;STM_coordination;;
NZZ_1995_03_30_a38_seg5_s4;21;;;x;;;;;;;;;;;;;;;inanim;;;;;Possibly interesting in terms of event structure, Paar;
NZZ_1995_11_17_a185_seg4_s13;19;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;
NZZ_1995_11_21_a127_seg6_s11;4;;;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;polysemous?;
NZZ_1995_10_07_a124_seg19_s2;3;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1995_10_12_a108_seg7_s24;17;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1996_04_16_a105_seg8_s1;14;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_04_23_a27_seg8_s2;2;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_04_26_a99_seg20_s6;3;;;x;;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;polysemous?, Problem. „bedrücken“ only means „put someone under pressure“. In this case it can be psychological as well as economic pressure. (interesting);
NZZ_1996_03_30_a28_seg10_s10;15;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_12_07_a210_seg3_s9;7;;;x;;;;;;;;;;;;;;;ambiguous;;;;psych_ambiguous;;
NZZ_1996_12_11_a116_seg3_s4;4;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1996_07_17_a100_seg2_s10;7;;;;x;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
