NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_01_04_a131_seg2_s7;45;;;;;;;x;;;;;;;;;;;;von;;;;;
NZZ_1993_01_04_a208_seg2_s20;80;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_08_a145_seg3_s17;57;;;;;;;x;;;;;;;;;;;;von;;;;;inanim von-PP, Kader
NZZ_1993_01_12_a38_seg18_s8;24;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_13_a20_seg10_s6;10;;;;;;;x;;;;;;;;;;;;von;;;;;inanim von-PP
NZZ_1993_01_14_a22_seg10_s14;20;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_15_a64_seg3_s4;38;;;;;x;;;;;;;;;;;;;;von;;;;;
NZZ_1993_01_16_a159_seg3_s2;29;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy, STM_coordination;;
NZZ_1993_01_16_a97_seg2_s6;40;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_coordination;;
NZZ_1993_01_18_a25_seg2_s3;18;;;;;;;;;;x;;;;;;;;;von;;;;;inanim von-PP
NZZ_1993_01_18_a48_seg5_s1;18;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_21_a52_seg2_s9;9;;;;x;;;;;;;;;;;;;;anim;;x;;;instrumental;anim because of control
NZZ_1993_01_22_a155_seg12_s5;20;;;;;x;;;;;;;;;;;;;;von;;;EXP_anim_proxy;;inanim von-PP
NZZ_1993_01_22_a86_seg5_s5;15;;;x;;;;;;;;;;;;;;;anim;;x;;;instrumental;zu beeindrucken wissen, Publikum
NZZ_1993_01_22_a93_seg15_s14;21;;;;;x;;;;;;;;;;;;;;;;;;;
NZZ_1993_01_23_a78_seg6_s2;43;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_28_a37_seg3_s5;3;;;;x;;;;;;;;;;;;;;inanim;durch;;;;;inanim durch-PP, not PA
NZZ_1993_01_29_a114_seg6_s4;6;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;EXP_anim_proxy;;anim_proxy control, adjunct control
NZZ_1993_01_30_a109_seg3_s20;13;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental?;
NZZ_1993_01_30_a178_seg10_s12;37;;;;;;;x;;;;;;;;;;;;durch;;;;;inanim durch-PP
NZZ_1993_01_30_a22_seg8_s7;19;;;x;;;;;;;;;;;;;;;inanim;;;;metonymic_EXP;;
