NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_01_16_a47_seg4_s4;35;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_05_08_a131_seg2_s93;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_08_19_a35_seg2_s38;21;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_08_20_a58_seg2_s18;21;;;;;;;;;;x;;;;;;;;;um;;;;;
NZZ_1993_08_27_a23_seg6_s7;29;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_08_28_a76_seg4_s17;2;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_09_14_a95_seg2_s14;29;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_10_23_a88_seg4_s99;7;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_11_12_a174_seg10_s10;20;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_11_12_a214_seg2_s15;22;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1993_12_08_a195_seg2_s15;22;;;;;x;;;;;;;;;;;;;;;;;;;
NZZ_1993_12_15_a72_seg3_s1;10;;;x;;;;;;;;;;;;;;;inanim;;;;title;;
NZZ_1993_12_15_a72_seg3_s8;10;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_02_11_a205_seg5_s3;25;;;x;;;;;;;;;;;;;;;inanim;mit;;;ambiguous;PP attachment;
NZZ_1994_02_12_a172_seg3_s8;3;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_03_16_a89_seg24_s1;49;;;x;;;;;;;;;;;;;;;inanim;;;;title;;
NZZ_1994_04_09_a177_seg3_s20;4;;;x;;;;;;;;;;;;;;;inanim;;;;fragment;;
NZZ_1994_06_16_a25_seg11_s4;4;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_08_20_a208_seg3_s11;17;;;;;;;;x;;;;;;;;;;;um;;;;;
NZZ_1994_09_24_a184_seg3_s13;14;;;x;;;;;;;;;;;;;;;ambiguous;;;;EXP_anim_proxy;;
NZZ_1994_11_26_a135_seg19_s34;35;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_01_07_a3_seg2_s43;2;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_02_03_a142_seg15_s6;25;;;;;x;;;;;;;;;;;;;;um;;;;;
NZZ_1995_06_28_a95_seg10_s3;24;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1995_07_01_a207_seg12_s1;79;;x;x;;;;;;;;;;;;;;;anim;;;;;"in this reading roughly equivalent to ""kümmern"" (which of course also has a psych-reading), transitive reflexive";
NZZ_1995_09_15_a28_seg8_s9;21;;;;;;;;;;x;;;;;;;;;um;;;;;
NZZ_1995_10_07_a183_seg9_s4;38;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1995_10_14_a200_seg3_s15;22;;;;;x;;;;;;;;;;;;;;;;x;;;
NZZ_1995_12_11_a88_seg3_s2;27;;;;;x;;;;;;;;;;;;;;;;x;;;
NZZ_1995_12_19_a15_seg1_s12;22;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_01_22_a179_seg5_s5;8;;;;;;;;x;;;;;;;;;;;;x;;;;
NZZ_1996_04_10_a70_seg5_s4;17;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_05_10_a160_seg3_s10;8;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1996_05_11_a227_seg16_s1;7;;;x;;;;;;;;;;;;;;;inanim;;;;polysemous;;
NZZ_1996_06_15_a243_seg8_s8;15;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_07_16_a155_seg2_s6;21;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_08_14_a128_seg4_s12;19;;x;;;x;;;;;;;;;;;;;;von;;;;Wordplay: The relevant sense is the non-psych one but the psych-reading is so prominent in general that the reader sees it, too.;
NZZ_1996_09_21_a111_seg3_s14;29;;x;;;;;;;;x;;;;;;;;;um;;;polysemous;;
NZZ_1996_11_04_a20_seg7_s4;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_12_11_a165_seg5_s1;8;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1997_04_22_a138_seg11_s11;8;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_05_20_a75_seg4_s25;12;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_06_21_a30_seg10_s2;17;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1997_09_06_a68_seg1_s20;10;;;x;;;;;;;;;;;;;;;ambiguous;;;;EXP_coordination;;
NZZ_1997_09_27_a194_seg13_s28;20;;x;;;;;;x;;;;;;;;;;;um;;;polysemous, pronominal_adverb;;
NZZ_1997_10_14_a177_seg5_s21;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_05_06_a109_seg4_s4;18;;;;;;;;;x;;;;;;;;;;über;;;pronominal_adverb;"""an"" Swiss variant of ""bei"" in this usage (appears often in NZZ corpus according to SB), possibly EXP_anim_proxy";
NZZ_1998_06_20_a263_seg11_s6;19;;;;;x;;;;;;;;;;;;;;über;;;;;
NZZ_1998_07_30_a193_seg7_s15;25;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_08_13_a189_seg7_s8;3;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_10_31_a209_seg9_s1;14;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_12_09_a18_seg4_s2;19;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;
NZZ_1999_03_08_a151_seg3_s8;4;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1999_04_13_a134_seg5_s10;36;;x;;;;;;x;;;;;;;;;;;um;;;polysemous;;
NZZ_1999_07_30_a66_seg13_s3;3;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_08_23_a91_seg12_s16;14;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_09_04_a214_seg5_s1;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1999_10_12_a205_seg6_s5;25;;;x;;;;;;;;;;;;;;;propositional;;;;;propositional?;
NZZ_1999_10_20_a203_seg9_s1;5;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1999_12_10_a220_seg3_s4;11;;;;;;;;;;x;;;;;;;;;durch;;;;inanim durch-PP;
