NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_05_08_a7_seg9_s1;18;;;;;;;;;;x;;;;;;;;;;;;;odd (maybe due to dialectal variation);
NZZ_1993_07_01_a106_seg3_s13;1;x;;;;;;;;;;;;;;;;;;;;;fragment;;
NZZ_1993_11_01_a115_seg2_s9;22;;;;;;x;;;;;;;;;;;;;durch;;;metaphoric_EXP;inanim durch-PP;
NZZ_1993_11_16_a117_seg2_s5;19;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1993_12_30_a41_seg2_s5;29;;;x;;;;;;;;;;;;;;;anim;;;;;Different reading?;
NZZ_1994_01_17_a87_seg3_s6;20;;;;;;x;;;;;;;;;;;;;;;;EXP_coordination;;
NZZ_1994_01_29_a177_seg4_s20;8;;;x;;;;;;;;;;;;;;;anim;;x;;;anim because of (adjunct) control;
NZZ_1994_03_05_a144_seg12_s2;5;;;;;;;;;;x;;;;;;;;;über;;;fragment;;
NZZ_1994_06_01_a178_seg3_s5;29;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1994_07_02_a222_seg4_s9;10;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1994_07_12_a109_seg4_s4;14;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_08_06_a212_seg3_s7;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_01_25_a143_seg3_s5;17;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1995_01_28_a211_seg23_s3;4;x;;;;;;;;;;;;;;;;;;;;;ungrammatical;;
NZZ_1995_02_04_a224_seg35_s7;23;;;x;;;;;;;;;;;;;;;anim;durch;;;;inanim durch-PP;
NZZ_1995_02_24_a196_seg2_s1;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_02_25_a130_seg3_s6;26;;;;x;;;;;;;;;;;;;;anim;;x;;;adjunct control;
NZZ_1995_03_17_a207_seg7_s8;9;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1995_04_24_a86_seg3_s9;5;;;;;;;;;;x;;;;;;;;;;;x;fragment;;
NZZ_1995_07_15_a188_seg3_s29;32;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1995_07_15_a188_seg3_s71;15;;;;;;x;;;;;;;;;;;;;durch;;;;inanim durch-PP;
NZZ_1995_07_29_a168_seg9_s8;1;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1995_08_17_a60_seg6_s8;27;;;x;;;;;;;;;;;;;;;anim;;x;;;adjunct control;
NZZ_1995_09_19_a107_seg5_s8;42;;;x;;;;;;;;;;;;;;;anim_proxy;durch;;;EXP_anim_proxy;inanim durch-PP;
NZZ_1995_10_02_a83_seg5_s2;16;;;x;;;;;;;;;;;;;;;inanim;;x;;;"inanim control (or raising)? (generally, there are raising (e.g. English ""likely"") as well as control adjectives (e.g. ""eager""), cf. Abaillé (2020))";
NZZ_1995_10_30_a96_seg3_s8;35;;;x;;;;;;;;;;;;;;;anim;mit;;;pronominal_adverb;;
NZZ_1995_11_13_a154_seg3_s22;17;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_12_18_a115_seg3_s2;2;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_12_19_a110_seg3_s14;2;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_01_06_a167_seg5_s2;12;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1996_02_19_a22_seg10_s17;29;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_03_12_a169_seg2_s2;16;;;x;;;;;;;;;;;;;;;inanim;;;;metonymic_EXP;;
NZZ_1996_04_06_a234_seg3_s5;7;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1996_04_23_a66_seg8_s11;9;x;;;;;;;;;;;;;;;;;;;;;fragment;;
