NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_02_a49_seg2_s1;9;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_07_15_a102_seg1_s4;61;;x;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_08_25_a28_seg8_s9;41;;;x;;;;;;;;;;;;;;;propositional;;;;;;Generation, wollen
NZZ_1993_08_25_a50_seg6_s2;31;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_08_26_a103_seg2_s9;26;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_08_28_a167_seg10_s15;6;;;;x;;;;;;;;;;;;;;inanim;;;;;;wollen
NZZ_1993_12_17_a44_seg2_s6;4;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1993_02_02_a99_seg2_s10;20;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_02_15_a1_seg4_s11;18;;;x;;;;;;;;;;;;;;;inanim;;;;;;Massen
NZZ_1993_02_18_a137_seg2_s10;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_02_20_a47_seg3_s4;22;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_02_23_a73_seg3_s7;6;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_02_24_a6_seg8_s1;48;;;;x;;;;;;;;;;;;;;inanim;;x;;PCN-C;vermögen?;
NZZ_1993_01_30_a11_seg2_s19;31;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_01_30_a114_seg21_s28;19;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_01_13_a76_seg3_s2;29;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_15_a163_seg2_s13;41;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_06_24_a115_seg8_s7;21;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_05_22_a81_seg11_s4;3;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_30_a119_seg13_s2;2;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_03_06_a118_seg3_s4;21;x;;;;;;;;;;;;;;;;;;;;;fragment;;
NZZ_1993_11_20_a15_seg2_s42;40;;;;x;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1993_11_29_a38_seg2_s10;17;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;Volk
NZZ_1993_09_09_a218_seg2_s11;2;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_09_10_a56_seg3_s32;32;;;;x;;;;;;;;;;;;;;propositional;;;;;;wollen
NZZ_1993_09_14_a2_seg8_s3;38;;;x;;;;;;;;;;;;;;;propositional;;;;;;
