NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_01_21_a62_seg3_s2;13;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_01_21_a69_seg2_s7;3;;;;;;;;;;x;;;;;;;;;durch;;;pronominal_adverb;;
NZZ_1993_01_29_a52_seg8_s15;21;;;;;;x;;;;;;;;;;;;;;;;;instrumental;
NZZ_1993_02_01_a16_seg8_s10;14;;;;;;;x;;;;;;;;;;;;;;;;;
NZZ_1993_02_03_a14_seg8_s3;32;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1993_02_13_a46_seg7_s9;24;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_02_22_a108_seg3_s19;7;;;;;;;x;;;;;;;;;;;;;;;;;
NZZ_1993_03_05_a223_seg16_s8;6;;;;;;;x;;;;;;;;;;;;;;;;;
NZZ_1993_03_20_a161_seg2_s109;21;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1993_03_30_a64_seg1_s10;15;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;EXP_anim_proxy;control in nominal context, anim_proxy control, probably VPM = Verein zur Förderung der Psychologischen Menschenkenntnis, a  Swiss right-wing psychological club;
NZZ_1993_04_02_a31_seg6_s2;17;;;x;;;;;;;;;;;;;;;anim;mit;;;pronominal_adverb;;
NZZ_1993_04_06_a125_seg2_s7;11;;;;;x;;;;;;;;;;;;;;durch;;;;inanim durch-PP;
NZZ_1993_04_07_a23_seg8_s12;27;;;;;;x;;;;;;;;;;;;;;;;;instrumental;
NZZ_1993_04_08_a152_seg2_s3;26;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental;
NZZ_1993_04_10_a10_seg2_s9;6;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_04_16_a3_seg6_s11;14;;;;;;;x;;;;;;;;;;;;;;;;;
NZZ_1993_05_07_a20_seg3_s3;9;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;Bevölkerung, mit-PP instrumental?;
NZZ_1993_06_02_a12_seg2_s4;18;;;;;;x;;;;;;;;;;;;;;;;;impersonal passive;
NZZ_1993_06_03_a3_seg7_s1;3;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1993_06_03_a3_seg8_s3;29;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;EXP_anim_proxy;control with anim_proxy, Kräfte;
NZZ_1993_06_19_a135_seg7_s5;33;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;EXP_anim_proxy;adjunct control, EXP_anim_proxy?, Opposition;
NZZ_1993_07_03_a112_seg1_s37;40;;;x;;;;;;;;;;;;;;;anim;;x;;;adjunct control;
NZZ_1993_07_03_a112_seg1_s9;15;;;x;;;;;;;;;;;;;;;anim;durch;;;;inanim durch-PP;
NZZ_1993_07_15_a26_seg6_s6;5;;;;;;x;;;;;;;;;;;;;;;;EXP_anim_proxy;instrumental;
NZZ_1993_07_21_a49_seg7_s1;38;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;EXP_anim_proxy;control with anim_proxy;
NZZ_1993_07_29_a169_seg2_s18;10;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1993_08_12_a49_seg5_s11;16;;;x;;;;;;;;;;;;;;;inanim;;;;resultative_object;auch clash of coordinations,EXP_anim_proxy? EXP-related_object?;
NZZ_1993_08_27_a96_seg3_s13;22;;;x;;;;;;;;;;;;;;;anim;durch;x;;;inanim durch-PP;
NZZ_1993_09_08_a30_seg2_s6;30;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;
NZZ_1993_09_15_a36_seg2_s5;30;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1993_10_05_a35_seg6_s3;12;;;x;;;;;;;;;;;;;;;anim;;x;;;adjunct control;
NZZ_1993_10_16_a29_seg12_s3;21;;;;;;x;;;;;;;;;;;;;;;;ambiguous;;
NZZ_1993_10_30_a83_seg2_s10;23;x;;;;;;;;;;;;;;;;;;;;;;uninteresting infinitive;
NZZ_1993_11_06_a34_seg4_s3;9;;;;;;;x;;;;;;;;;;;;durch;;;pronominal_adverb, EXP_anim_proxy;;
NZZ_1993_11_09_a31_seg4_s3;25;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;;anim_proxy control;
NZZ_1993_11_12_a6_seg10_s2;28;;;;;;x;;;;;;;;;;;;;;;;;"On a closer look, this sentence doesn't make sense because a ""Fund"" cannot be an ""Akt"": If the thing found is meant, this clear but even if a finding event is meant, this can hardly be considered an act for lack of volontarity.";
NZZ_1993_11_23_a45_seg2_s10;15;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_11_25_a34_seg2_s9;15;;;;;;;x;;;;;;;;;;;;;x;;;;
NZZ_1993_11_25_a44_seg10_s1;26;;;;;;;x;;;;;;;;;;;;durch;;;;inanim durch-PP, Schichten;
NZZ_1993_11_25_a83_seg9_s14;31;;;x;;;;;;;;;;;;;;;anim_proxy;;;;EXP_anim_proxy;;
NZZ_1993_12_03_a243_seg2_s7;37;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1993_12_07_a27_seg8_s14;11;;;;;;;x;;;;;;;;;;;;;;;EXP_anim_proxy;;
NZZ_1993_12_09_a69_seg2_s6;32;;;x;;;;;;;;;;;;;;;anim_proxy;;;;STM_coordination;;
NZZ_1993_12_15_a119_seg1_s4;8;;;;;;;;;;x;;;;;;;;;durch;;;;inanim durch-PP;
NZZ_1993_12_17_a7_seg7_s1;35;;;x;;;;;;;;;;;;;;;anim;;x;;EXP_anim_proxy;anim because of control, EXP_anim_proxy?, mit-PP instrumental;
NZZ_1994_01_10_a9_seg7_s1;35;;;x;;;;;;;;;;;;;;;anim;;x;;EXP_anim_proxy;"control in nominal context, anim because of control; EXP_anim_proxy?";
NZZ_1994_01_12_a188_seg3_s15;24;;;;;;;x;;;;;;;;;;;;;;;EXP_anim_proxy;;
NZZ_1994_01_29_a113_seg23_s13;8;;;;;;;;;;;;;;;;;x;;;;;;Gesellschaft;
NZZ_1994_02_04_a181_seg3_s8;11;;;;;;;x;;;;;;;;;;;;;;;;;
NZZ_1994_02_04_a32_seg6_s2;15;;;x;;;;;;;;;;;;;;;anim;;x;;;Gruppe;
NZZ_1994_02_12_a51_seg3_s2;68;;;x;;;;;;;;;;;;;;;anim_proxy;mit;x;;EXP_anim_proxy;anim_proxy control;
NZZ_1994_02_19_a26_seg8_s1;36;;;x;;;;;;;;;;;;;;;anim;;x;;;anim because of control;
