NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_01_21_a67_seg2_s3;25;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1993_02_16_a143_seg4_s12;30;;;x;;;;;;;;;;;;;;;anim;als;;;;;Massen
NZZ_1993_05_12_a138_seg1_s21;17;;;x;;;;;;;;;;;;;;;inanim;;;;;;generic EXP
NZZ_1993_05_22_a153_seg2_s21;5;;;;x;;;;;;;;;;;;;;inanim;durch;;;;;inanim durch-PP
NZZ_1993_05_28_a49_seg4_s1;29;;;x;;;;;;;;;;;;;;;anim;mit;;;EXP_coordination, EXP_anim_proxy;;Publikum, Presse
NZZ_1993_06_03_a33_seg6_s7;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_06_12_a83_seg4_s1;13;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_07_10_a79_seg6_s21;47;;;;;;;;;;x;;;;;;;;;von;;;;;
NZZ_1993_07_19_a161_seg3_s2;66;;;x;;;;;;;;;;;;;;;inanim;;;;STM_coordination;;generic EXP
NZZ_1993_09_18_a110_seg2_s7;5;;;x;;;;;;;;;;;;;;;propositional;;;;;;proposition-based w-clause
NZZ_1993_09_20_a33_seg4_s39;7;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_09_25_a70_seg5_s1;57;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object, STM_coordination, ambiguous;krude Poesie…;
NZZ_1993_09_25_a70_seg6_s2;11;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_10_02_a69_seg10_s21;7;;;;;x;;;;;;;;;;;;;;über;;;;;
NZZ_1993_10_12_a88_seg8_s2;57;;;x;;;;;;;;;;;;;;;anim_proxy;mit;;;EXP_anim_proxy;;Welt
NZZ_1993_10_15_a106_seg3_s12;15;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;;
NZZ_1993_10_30_a83_seg2_s7;25;;;x;;;;;;;;;;;;;;;anim;;;;;;Massen
NZZ_1993_11_13_a105_seg8_s14;45;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_12_04_a42_seg2_s6;65;;;x;;;;;;;;;;;;;;;inanim;;;;;;generic EXP
NZZ_1993_12_11_a81_seg2_s22;18;;;x;;;;;;;;;;;;;;;anim_proxy;;;;EXP_anim_proxy;;
NZZ_1993_12_24_a113_seg1_s8;25;;;;x;;;;;;;;;;;;;;inanim;;;;;movie character, concept?;probably the movie (and not its protagonist) is meant here
NZZ_1994_01_17_a120_seg6_s3;40;;;x;;;;;;;;;;;;;;;anim;;x;;;instrumental;
NZZ_1994_01_26_a199_seg13_s4;28;;;x;;;;;;;;;;;;;;;inanim;;;;;;Masse
NZZ_1994_02_04_a154_seg3_s8;32;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1994_03_10_a243_seg5_s23;10;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_04_20_a204_seg5_s2;48;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;;Menge, intersting event structure
NZZ_1994_04_25_a223_seg8_s9;3;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object, STM_coordination;;
NZZ_1994_05_24_a95_seg3_s4;7;;;x;;;;;;;;;;;;;;;ambiguous;;;;;anim?;most probably anim
NZZ_1994_06_10_a186_seg3_s4;27;;;x;;;;;;;;;;;;;;;anim;;;;;;Publikum
NZZ_1994_06_24_a183_seg3_s3;12;;;x;;;;;;;;;;;;;;;ambiguous;;;;;anim_proxy?;
NZZ_1994_08_06_a158_seg3_s5;24;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_09_13_a219_seg8_s10;10;;;;;x;;;;;;;;;;;;;;von;;;PA+A;;inanim von-PP
