NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_03_a73_seg12_s6;34;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1993_07_14_a155_seg3_s2;28;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_08_18_a75_seg2_s3;10;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1993_08_18_a120_seg4_s2;21;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1993_12_04_a122_seg2_s18;4;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1993_02_15_a144_seg2_s3;17;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1993_02_16_a97_seg8_s6;41;;;;;;;;;x;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1993_02_18_a38_seg11_s8;16;;;;;x;;;;;;;;;;;;;;über;;;;;
NZZ_1993_01_04_a71_seg8_s5;24;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1993_06_10_a194_seg2_s5;19;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_06_29_a168_seg2_s11;21;;;x;;;;;;;;;;;;;;;inanim;;;;EXP-related_object;;
NZZ_1993_05_07_a35_seg2_s2;19;;;x;;;;;;;;;;;;;;;inanim;;x;;EXP_coordination;;
NZZ_1993_05_07_a66_seg1_s12;48;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1993_05_11_a4_seg8_s6;38;;;;;;;;;;;;;;;x;;;;;x;;;;
NZZ_1993_10_07_a60_seg2_s24;17;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_10_26_a196_seg4_s8;21;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy, fragment;;
NZZ_1993_09_16_a132_seg2_s12;24;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1993_09_20_a217_seg3_s15;17;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1993_09_25_a201_seg3_s9;3;;x;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1994_04_16_a128_seg30_s16;8;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1994_04_26_a152_seg1_s3;13;;;;;;;;;;;;;;;x;;;;;;;PCN-C;;
NZZ_1994_04_26_a179_seg2_s2;5;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1994_08_02_a112_seg3_s4;12;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1994_08_16_a73_seg8_s7;9;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1994_12_10_a21_seg8_s5;12;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1994_01_06_a37_seg9_s3;2;;;;;;;;;;;;;;;x;;;;;;;EXP_anim_proxy;;
NZZ_1994_01_15_a128_seg5_s63;6;;;;;;;;;;;;;;;x;;;;;;;;;
NZZ_1994_01_29_a114_seg5_s7;3;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental?;
NZZ_1994_07_08_a85_seg6_s4;3;;;;;;;;;;;;;;;x;;;;;;;;;
