NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_13_a74_seg5_s3;13;;;;;;;;x;;;;;;;;;;;;;;;;als
NZZ_1993_07_16_a83_seg3_s46;2;;;;;;;;x;;;;;;;;;;;;;x;;infinitivsatz;
NZZ_1993_01_12_a38_seg14_s16;16;;;;;;;;x;;;;;;;;;;;;;x;;infinitivsatz;
NZZ_1993_06_01_a80_seg2_s12;20;;;;;;;;x;;;;;;;;;;;über;;;;;sich ausgelassen freuen: utterance?
NZZ_1993_06_05_a117_seg2_s73;2;;;;;;;;x;;;;;;;;;;;;;x;;;darum
NZZ_1993_06_17_a70_seg6_s9;1;x;;;;;;;;;;;;;;;;;;;;;fragment;;
NZZ_1993_05_18_a83_seg3_s2;16;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1993_05_25_a48_seg6_s9;25;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1993_03_12_a131_seg3_s11;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_03_13_a121_seg3_s18;8;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1993_03_24_a111_seg2_s17;28;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1993_03_29_a168_seg2_s18;2;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_11_06_a81_seg18_s3;4;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_11_19_a33_seg2_s5;20;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_10_30_a30_seg4_s3;20;;;;;;;;x;;;;;;;;;;;;;x;EXP_anim_proxy;;country
NZZ_1993_10_02_a122_seg2_s30;53;;;;;;;;x;;;;;;;;;;;über;;;;NZZ politically correct?;
NZZ_1993_10_11_a102_seg3_s12;3;;;;;;;;x;;;;;;;;;;;über;;;;;interesting: different cause indicated with an adjunct
NZZ_1993_09_06_a79_seg10_s4;16;;;;;;;;x;;;;;;;;;;;über;;;;;interesting: different cause indicated with an adjunct
NZZ_1993_09_14_a153_seg2_s4;5;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1993_09_21_a47_seg2_s25;47;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1993_09_28_a84_seg2_s9;17;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_08_09_a22_seg8_s1;9;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_08_23_a133_seg4_s7;2;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_12_16_a188_seg29_s25;3;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1994_02_09_a92_seg7_s7;57;;;;;;;;x;;;;;;;;;;;auf;;;variation;;
NZZ_1994_02_12_a52_seg6_s4;13;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_02_12_a188_seg17_s52;4;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1994_02_18_a215_seg10_s11;7;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_02_26_a200_seg4_s153;13;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1994_01_14_a25_seg11_s3;8;;;;;;;;x;;;;;;;;;;;;;;;;als
NZZ_1994_07_11_a70_seg3_s3;7;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1994_06_08_a113_seg4_s1;6;;;;;;;;x;;;;;;;;;;;;;;;;wenn
NZZ_1994_06_15_a87_seg1_s1;19;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_06_16_a20_seg9_s4;3;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_06_18_a223_seg8_s18;17;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1994_05_09_a104_seg3_s8;14;;;;;;;;x;;;;;;;;;;;an;;;;;
NZZ_1994_05_17_a98_seg5_s3;43;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_11_08_a129_seg4_s7;7;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_11_15_a81_seg2_s9;40;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_11_23_a33_seg2_s4;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_09_10_a179_seg3_s3;6;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1994_09_21_a135_seg4_s4;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_08_14_a146_seg9_s7;2;;;;;;;;x;;;;;;;;;;;auf;;;;;
NZZ_1995_04_10_a33_seg4_s5;2;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1995_12_05_a116_seg7_s11;12;;;;;;;;x;;;;;;;;;;;auf;;;;;
