NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_03_31_a10_seg6_s7;12;;x;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_03_31_a162_seg9_s3;15;;x;;x;;;;;;;;;;;;;;inanim;;;;psych_ambiguous;psych?;
NZZ_1993_03_31_a171_seg2_s6;11;;x;x;;;;;;;;;;;;;;;inanim;;;;collocation;;
NZZ_1993_03_31_a78_seg3_s10;12;;x;;x;;;;;;;;;;;;;;inanim;;;;resultative_object;;
NZZ_1993_03_31_a79_seg3_s10;12;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1993_04_01_a100_seg2_s9;27;;x;;x;;;;;;;;;;;;;;propositional;;;;;final;
NZZ_1993_04_01_a142_seg7_s5;3;;x;x;;;;;;;;;;;;;;;inanim;;;;collocation;;
NZZ_1993_04_01_a202_seg2_s1;6;;x;;x;;;;;;;;;;;;;;inanim;;;;;final;
NZZ_1993_04_02_a48_seg2_s3;2;;x;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_02_a52_seg10_s5;29;;x;x;;;;;;;;;;;;;;;anim;;;;EXP-related_object;;
NZZ_1993_04_02_a72_seg5_s20;6;;x;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1993_04_02_a79_seg2_s5;11;;x;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_02_a80_seg1_s1;28;;x;;x;;;;;;;;;;;;;;inanim;;;;ambiguous, result_PP;;
NZZ_1993_04_02_a90_seg12_s2;4;;x;;x;;;;;;;;;;;;;;inanim;;;;;final;
NZZ_1993_04_02_a90_seg41_s27;24;;x;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_03_a140_seg2_s3;13;;x;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_03_a169_seg14_s12;2;;x;;x;;;;;;;;;;;;;;inanim;;;;result_PP;;
NZZ_1993_04_03_a175_seg6_s4;2;;x;;x;;;;;;;;;;;;;;inanim;;;;psych_ambiguous, STM_psych_noun;;
NZZ_1993_04_03_a47_seg6_s10;15;;x;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_05_a203_seg2_s3;9;;x;;x;;;;;;;;;;;;;;inanim;;;;EXP-indicating_adjunct;für-PP;
