NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_02_15_a96_seg2_s5;10;;;;;;;;;;x;;;;;;;;;von;;;;ellipsis AUX?;
NZZ_1993_03_05_a96_seg2_s12;16;x;;;;;;;;;;;;;;;;;;;;;false hit;;
NZZ_1993_06_01_a38_seg2_s17;44;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1993_06_07_a156_seg4_s15;22;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_06_10_a117_seg2_s4;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;generic EXP
NZZ_1993_09_10_a59_seg8_s7;16;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental, NZZ;
NZZ_1993_09_20_a203_seg22_s1;18;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1993_09_28_a202_seg2_s22;28;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_10_05_a85_seg2_s2;2;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;Konkurrenz
NZZ_1993_11_02_a25_seg2_s26;9;;;;x;;;;;;;;;;;;;;anim;als;;;;;
NZZ_1993_11_15_a241_seg3_s7;13;;;x;;;;;;;;;;;;;;;anim;mit;;;pronominal_adverb, EXP_anim_proxy;;
NZZ_1993_11_22_a199_seg3_s3;9;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_11_26_a60_seg3_s25;15;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_12_28_a28_seg2_s2;10;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_03_04_a106_seg30_s8;4;;;;;;;;x;;;;;;;;;;;ob;;;fragment, variation;interesting refl occurrence;
NZZ_1994_03_09_a104_seg5_s8;13;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_03_10_a182_seg2_s12;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_03_14_a219_seg1_s56;3;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1994_03_24_a101_seg5_s14;59;;;;x;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1994_04_05_a135_seg3_s18;16;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_05_28_a183_seg3_s4;4;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental;
NZZ_1994_06_04_a193_seg3_s34;17;;;;x;;;;;;;;;;;;;;inanim;;;;STM_coordination;;
NZZ_1994_07_14_a107_seg7_s10;20;x;;;;;;;;;;;;;;;;;;;;;title;;
NZZ_1994_07_14_a107_seg7_s37;5;x;;;;;;;;;;;;;;;;;;;;;duplicate, title;;
NZZ_1994_07_14_a128_seg2_s6;16;;;x;;;;;;;;;;;;;;;anim;;x;;;NZZ;
NZZ_1994_08_05_a117_seg2_s27;16;;;;x;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_10_13_a150_seg9_s10;4;;;;x;;;;;;;;;;;;;;anim;;;;;;"interesting because the dropped object is preferably interpreted as ""me"" rather than as generic (although this might depend on the context)"
NZZ_1994_11_02_a136_seg2_s4;3;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1995_01_21_a167_seg3_s11;6;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_02_17_a128_seg3_s25;5;;;x;;;;;;;;;;;;;;;inanim;an;;;;;
NZZ_1995_03_09_a124_seg3_s1;12;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1995_03_16_a194_seg3_s21;6;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_04_05_a34_seg2_s3;37;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1995_04_06_a157_seg6_s10;8;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1995_04_27_a179_seg3_s4;71;;;x;;;;;;;;;;;;;;;anim_proxy;mit;;;;instrumental;
NZZ_1995_06_07_a133_seg3_s12;15;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_coordination;;
NZZ_1995_07_22_a192_seg4_s4;18;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental;
NZZ_1995_07_25_a115_seg21_s2;2;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1995_08_03_a114_seg3_s19;3;;;x;;;;;;;;;;;;;;;inanim;mit;;;;instrumental?;generic EXP
NZZ_1995_08_19_a181_seg3_s17;19;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_08_24_a188_seg7_s2;17;;;;;;;;;;x;;;;;;;;;;;;;;
NZZ_1995_09_04_a127_seg2_s4;12;;;x;;;;;;;;;;;;;;;anim;;x;;;;
NZZ_1995_09_08_a125_seg9_s2;20;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1995_10_07_a182_seg2_s2;9;x;;;;;;;;;;;;;;;;;;;;;;false hit;
NZZ_1995_10_12_a102_seg4_s13;12;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1995_11_06_a121_seg3_s11;18;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;Publikum
NZZ_1995_11_08_a130_seg3_s4;5;;;x;;;;;;;;;;;;;;;anim;mit;;;EXP_coordination;instrumental;
NZZ_1995_11_15_a167_seg3_s9;15;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;;
NZZ_1995_11_21_a106_seg5_s5;22;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;Nachbarschaft
NZZ_1995_11_22_a121_seg50_s10;15;;;;x;;;;;;;;;;;;;;anim_proxy;;;;;;
NZZ_1995_11_22_a121_seg50_s2;7;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1995_11_24_a171_seg2_s9;5;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1995_12_09_a196_seg11_s5;10;;;;;;;;x;;;;;;;;;;;;;;ambiguous, variation;transitive refl possible;
NZZ_1996_01_25_a138_seg3_s32;31;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1996_02_02_a161_seg3_s12;30;;;;x;;;;;;;;;;;;;;inanim;;;;title;;
NZZ_1996_02_05_a28_seg6_s5;33;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;;
NZZ_1996_03_23_a221_seg3_s50;2;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental, NZZ;
NZZ_1996_04_10_a134_seg49_s7;2;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_04_20_a197_seg3_s21;7;;;x;;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1996_04_23_a189_seg2_s21;12;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1996_05_14_a162_seg5_s15;16;;;;;;;;x;;;;;;;;;;;über;;;variation;;
NZZ_1996_05_24_a141_seg3_s4;51;;;x;;;;;;;;;;;;;;;anim;;;;result_PP, STM_coordination;;
NZZ_1996_06_11_a133_seg3_s22;5;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1996_06_22_a200_seg3_s1;61;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;Publikum
NZZ_1996_08_22_a140_seg3_s3;49;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_09_05_a113_seg3_s1;4;x;;;;;;;;;;;;;;;;;;;;;;;
NZZ_1996_09_10_a121_seg25_s3;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_10_16_a112_seg3_s31;9;;;;;;;;;;x;;;;;;;;;von;;;;;
NZZ_1996_12_03_a163_seg2_s8;27;;;x;;;;;;;;;;;;;;;anim_proxy;mit;;;EXP_anim_proxy;instrumental;Konkurrenz
NZZ_1996_12_09_a134_seg3_s23;5;;;;x;;;;;;;;;;;;;;inanim;;;;EXP-indicating_adjunct;Pseudo EXP PP?;
NZZ_1996_12_20_a159_seg3_s17;8;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1996_12_27_a128_seg5_s13;8;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1996_12_27_a90_seg3_s17;2;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1996_12_30_a7_seg2_s1;8;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_12_30_a7_seg6_s30;3;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1997_01_03_a161_seg5_s17;8;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1997_01_17_a183_seg7_s12;15;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_01_24_a168_seg5_s51;8;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1997_03_11_a205_seg3_s12;33;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental, NZZ;
NZZ_1997_04_25_a131_seg7_s3;11;;;x;;;;;;;;;;;;;;;anim;;;;reciprocal;;
NZZ_1997_05_31_a199_seg3_s9;21;;;x;;;;;;;;;;;;;;;anim;;;;result_PP, collocation;;zu Tode nerven
NZZ_1997_06_16_a114_seg3_s31;8;;;x;;;;;;;;;;;;;;;inanim;;;;;NZZ;
NZZ_1997_07_04_a121_seg5_s17;17;;;x;;;;;;;;;;;;;;;inanim;;;;;;Nachbarn
NZZ_1997_07_31_a94_seg7_s7;4;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1997_08_06_a107_seg60_s32;12;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1997_08_08_a175_seg4_s3;13;;;x;;;;;;;;;;;;;;;anim;;;;;NZZ;
NZZ_1997_08_22_a163_seg8_s4;25;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;Konkurrenz
NZZ_1997_10_02_a109_seg3_s33;8;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_10_16_a123_seg2_s2;29;;;;x;;;;;;;;;;;;;;anim_proxy;mit;;;EXP-indicating_adjunct;instrumental, Pseudo EXP PP;
NZZ_1997_10_25_a227_seg3_s6;7;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1997_11_04_a166_seg3_s38;22;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_12_05_a207_seg4_s33;8;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_01_10_a207_seg1_s22;2;;;;x;;;;;;;;;;;;;;propositional;;;;non-phoric_es;;
NZZ_1998_01_31_a32_seg4_s5;18;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental, NZZ;
NZZ_1998_02_25_a160_seg3_s1;14;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1998_03_07_a213_seg3_s11;5;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_04_28_a198_seg3_s21;3;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_05_04_a144_seg3_s18;30;;;x;;;;;;;;;;;;;;;anim;mit;;;;instrumental;
NZZ_1998_05_22_a250_seg8_s25;9;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1998_06_23_a213_seg2_s13;7;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1998_06_25_a155_seg7_s3;20;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1998_07_09_a191_seg3_s20;2;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1998_07_29_a156_seg3_s4;14;;;;x;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1998_08_05_a60_seg5_s11;6;;;;x;;;;;;;;;;;;;;inanim;;;;;;
