NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_15_a144_seg1_s35;6;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1993_07_23_a111_seg4_s1;16;;x;;;;;;x;;;;;;;;;;;über;;;;non-psych;
NZZ_1993_04_03_a74_seg17_s6;5;;;x;;;;;;;;;;;;;;;anim;;;;ambiguous;transitive refl possible;
NZZ_1993_04_10_a45_seg2_s38;2;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_04_15_a128_seg2_s5;4;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1993_08_12_a50_seg4_s13;2;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_08_19_a35_seg2_s25;30;;;x;;;;;;;;;;;;;;;inanim;;;;ungrammatical;typo;
NZZ_1993_08_28_a77_seg30_s3;32;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;literary figure;
NZZ_1993_12_03_a68_seg2_s37;47;;;x;;;;;;;;;;;;;;;anim;;;;EXP_coordination;instrumental;
NZZ_1993_12_04_a101_seg1_s33;30;;;;;;x;;;;;;;;;;;;;von;;;;;
NZZ_1993_02_13_a134_seg1_s3;2;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_02_25_a131_seg2_s4;15;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1993_01_05_a38_seg2_s12;28;;;x;;;;;;;;;;;;;;;anim;;x;;ambiguous;transitive refl possible;adjunct control
NZZ_1993_01_14_a47_seg2_s19;2;;;;;;;;x;;;;;;;;;;;in;;;;;
NZZ_1993_01_29_a203_seg3_s4;48;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_06_08_a99_seg3_s2;2;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1993_05_22_a149_seg2_s11;11;;;;;;x;;;;;;;;;;;;;von;;;result_PP;;
NZZ_1993_05_25_a91_seg3_s13;3;;x;;;;;;x;;;;;;;;;;;;;;result_PP;non-psych;
NZZ_1993_04_30_a174_seg1_s4;24;;;x;;;;;;;;;;;;;;;inanim;;;;metaphoric_STM, clearly_non_agentive;;
NZZ_1993_03_04_a55_seg15_s11;12;;;x;;;;;;;;;;;;;;;anim;mit;x;;;non-psych;
NZZ_1993_03_18_a28_seg2_s10;9;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1993_03_27_a154_seg2_s138;2;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1993_11_06_a125_seg1_s38;31;;;;;;x;;;;;;;;;;;;;von;;;;;inanim von-PP
NZZ_1993_11_06_a199_seg11_s5;4;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_10_16_a3_seg2_s7;17;;;;;;x;;;;;;;;;;;;;mit;;;;;instrumental
NZZ_1993_09_27_a82_seg9_s4;2;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1994_08_06_a158_seg3_s9;17;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1994_12_05_a162_seg2_s14;9;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_12_17_a141_seg2_s6;3;;x;;;;;;x;;;;;;;;;;;über;;;ambiguous;non-psych, transitive refl possible;
NZZ_1994_12_17_a143_seg8_s16;7;;;;;;;;x;;;;;;;;;;;mit;;;;;different reading of mit?
NZZ_1994_01_26_a139_seg10_s4;42;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_07_28_a157_seg2_s31;11;;;x;;;;;;;;;;;;;;;anim;;;;ambiguous, reciprocal;transitive refl possible;
NZZ_1994_06_01_a139_seg3_s3;5;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1994_06_09_a122_seg5_s6;61;;;;;;;;;;x;;;;;;;;;von;;;;AUX ellipsis?;inanim von-PP
NZZ_1994_06_15_a192_seg2_s32;8;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1994_05_28_a216_seg3_s2;26;;x;;;;;;x;;;;;;;;;;;durch;;;;non-psych;
NZZ_1994_03_15_a119_seg2_s1;15;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_11_19_a124_seg2_s2;32;;;x;;;;;;;;;;;;;;;inanim;;x;;EXP_coordination;;"control in nominal context, inanim control? (one could argue that there has to be someone who uses opera to torture etc. But cf. ""Diese Stücke haben den Zweck, die Sängerinnen eines nach dem anderen zu quälen"")"
NZZ_1994_11_29_a33_seg7_s2;30;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_10_31_a63_seg3_s35;2;;;x;;;;;;;;;;;;;;;anim;;;;;literarische Figur oder Werk?;
NZZ_1994_10_03_a72_seg5_s23;3;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1994_10_03_a72_seg11_s14;16;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_10_25_a89_seg3_s41;15;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_09_02_a172_seg13_s6;31;;;;;;x;;;;;;;;;;;;;von;;;result_PP, collocation;;"zu Tode, ""Büsi"" Swiss German for ""cat"""
NZZ_1994_09_02_a185_seg8_s8;53;;;x;;;;;;;;;;;;;;;anim;mit;;;;;instrumental?
NZZ_1996_08_14_a113_seg3_s22;37;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1995_04_01_a206_seg17_s15;3;;;;;;;;x;;;;;;;;;;;mit;;;;;different reading of mit?
NZZ_1995_04_01_a207_seg11_s20;2;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1995_04_08_a204_seg5_s1;11;;;;x;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1995_04_26_a7_seg9_s3;16;;;x;;;;;;;;;;;;;;;anim;;;;;;
