NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_05_03_a31_seg2_s5;51;;;x;;;;;;;;;;;;;;;clash of coordinations;;;;STM_coordination;Publikum;
NZZ_1993_09_24_a20_seg8_s6;18;;;x;;;;;;;;;;;;;;;anim;;x;;;anim because of (adjunct) control;
NZZ_1993_10_23_a91_seg6_s15;9;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_01_08_a125_seg7_s15;2;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_05_06_a192_seg6_s3;23;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_07_28_a32_seg6_s4;34;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_08_20_a27_seg8_s5;14;;;;;x;;;;;;;;;;;;;;ob;;;pronominal_adverb;;
NZZ_1994_09_16_a9_seg10_s5;16;;;x;;;;;;;;;;;;;;;anim;;x;;;anim because of control in nominal context;
NZZ_1994_09_16_a9_seg3_s2;26;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;;anim_proxy adjunct control;
NZZ_1994_10_25_a89_seg3_s12;5;;;x;;;;;;;;;;;;;;;anim;mit;;;;;
NZZ_1995_02_11_a23_seg8_s7;6;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;;anim_proxy adjunct control;
NZZ_1995_03_03_a24_seg7_s2;10;;;x;;;;;;;;;;;;;;;anim_proxy;;x;;;anim_proxy control;
NZZ_1995_08_18_a25_seg12_s4;44;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1995_09_13_a68_seg2_s4;39;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_10_09_a4_seg15_s2;7;;;;;;;;;;x;;;;;;;;;;;;;adverb,reagieren,Kreise;
NZZ_1995_11_08_a95_seg6_s12;11;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_01_03_a71_seg8_s11;23;;;x;;;;;;;;;;;;;;;anim_proxy;mit;;;metonymic_EXP;;
NZZ_1996_01_29_a9_seg6_s5;16;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_02_09_a125_seg2_s11;6;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1996_03_22_a83_seg3_s1;34;;;x;;;;;;;;;;;;;;;anim_proxy;mit;x;;fragment, EXP_anim_proxy, EXP_coordination;? Fachwelt and generic indefinite in coordination.;
NZZ_1996_04_27_a224_seg10_s8;11;;;;;;;;;;x;;;;;;;;;von;;;;inanim von-PP;
NZZ_1996_06_24_a105_seg3_s17;4;;;x;;;;;;;;;;;;;;;inanim;;;;;Kundschaft;
NZZ_1996_11_09_a20_seg6_s4;12;;;x;;;;;;;;;;;;;;;anim;mit;;;;metonymic? Umgebung;
NZZ_1997_03_11_a36_seg9_s3;41;;;;;;;;;;x;;;;;;;;;durch;;;;;
NZZ_1997_05_29_a126_seg8_s12;20;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_05_30_a120_seg6_s3;9;;;x;;;;;;;;;;;;;;;anim;;x;;;adjunct control;
NZZ_1997_11_20_a199_seg7_s22;14;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1997_12_30_a104_seg3_s37;10;;;x;;;;;;;;;;;;;;;anim;;x;;;anim because of (adjunct) control, genieren instead of generieren probably meant here;
NZZ_1998_01_23_a199_seg3_s12;25;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1998_02_12_a136_seg7_s3;39;;;x;;;;;;;;;;;;;;;anim;mit;;;ungrammatical;noi?;
NZZ_1998_02_26_a9_seg8_s2;13;;;x;;;;;;;;;;;;;;;anim;mit;;;pronominal_adverb;;
NZZ_1998_03_30_a20_seg2_s13;28;;;x;;;;;;;;;;;;;;;anim;;x;;;adjunct control;
NZZ_1998_04_17_a23_seg10_s4;19;;;x;;;;;;;;;;;;;;;anim;durch;x;;;anim because of control in nominal context (probably anim_proxy though);
NZZ_1998_04_25_a1_seg7_s8;21;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1998_05_11_a11_seg6_s10;27;;;x;;;;;;;;;;;;;;;anim;mit;;;fragment;;
