NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_08_07_a73_seg8_s1;88;;;x;;;;;;;;;;;;;;;anim;;;;ambiguous;;
NZZ_1993_08_14_a81_seg7_s15;61;;;;x;;;;;;;;;;;;;;inanim;;x;;;;inanim control, control in nominal context
NZZ_1993_01_23_a34_seg10_s17;26;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_06_19_a92_seg6_s6;14;;;x;;;;;;;;;;;;;;;inanim;;;;STM_coordination;;generic EXP, verstören in
NZZ_1993_10_14_a48_seg2_s26;9;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1994_02_26_a111_seg11_s17;4;;;x;;;;;;;;;;;;;;;inanim;;;;;coordination ellipsis;
NZZ_1994_06_07_a143_seg7_s17;33;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_05_09_a80_seg11_s9;9;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_05_21_a120_seg4_s29;3;;;x;;;;;;;;;;;;;;;inanim;;;;PCN-C;;
NZZ_1994_11_18_a197_seg11_s2;34;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1994_10_01_a122_seg6_s2;35;;;x;;;;;;;;;;;;;;;anim_proxy;;;;;;
NZZ_1994_10_22_a130_seg4_s46;5;;;;x;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1994_10_25_a78_seg3_s10;11;;;;x;;;;;;;;;;;;;;inanim;;;;PCN-C;;
