NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_05_a62_seg8_s15;18;;;x;;;;;;;;;;;;;;;anim;;;;ungrammatical;instrumental;
NZZ_1993_08_17_a71_seg5_s14;22;;;x;;;;;;;;;;;;;;;anim;;;;;;
NZZ_1993_08_20_a19_seg10_s10;39;;;;;x;;;;;;;;;;;;;;von;;;;;inanim von-PP, Bevölkerung
NZZ_1993_08_23_a106_seg2_s3;28;;;x;;;;;;;;;;;;;;;anim;;x;;pronominal_adverb;instrumental;
NZZ_1993_08_23_a128_seg5_s3;28;x;;;;;;;;;;;;;;;;;;;;;duplicate;;
NZZ_1993_02_06_a23_seg2_s44;28;;;;;;;;;;x;;;;;;;;;von;;;;;inanim von-PP
NZZ_1993_01_04_a159_seg8_s2;15;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;interesting event structure
NZZ_1993_06_18_a78_seg3_s3;29;;;;;;;;;;x;;;;;;;;;von;;;EXP_anim_proxy;;inanim von-PP
NZZ_1993_05_03_a72_seg3_s13;14;;;x;;;;;;;;;;;;;;;anim;;;;;instrumental;
NZZ_1993_04_30_a112_seg4_s7;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_11_10_a12_seg2_s14;17;;;;;;x;;;;;;;;;;;;;;;;;;
NZZ_1993_10_02_a116_seg2_s31;8;;;;x;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1993_10_04_a117_seg3_s9;23;;;x;;;;;;;;;;;;;;;anim;;x;;;;
NZZ_1994_04_21_a13_seg6_s9;18;;;x;;;;;;;;;;;;;;;anim;;x;;;???;anim because of control (well, the control predicate is Taktik, so it will be hard to imangine an inanim controler), control in nominal context
NZZ_1994_04_25_a138_seg5_s10;3;;;x;;;;;;;;;;;;;;;anim;;;;reciprocal;;inastrumental?
