NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_04_17_a189_seg2_s11;12;;;x;;;;;;;;;;;;;;;inanim;;x;;;tough?;not tough!, control in adjectival context, Bevölkerung
NZZ_1993_08_13_a21_seg2_s3;3;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1993_07_31_a29_seg4_s2;3;;;;;;;;x;;;;;;;;;;;vor;;;EXP_anim_proxy;;
NZZ_1993_12_04_a117_seg2_s71;3;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_12_13_a34_seg2_s9;60;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_12_24_a82_seg3_s28;84;;;x;;;;;;;;;;;;;;;inanim;;;;;;interesting event structure
NZZ_1993_01_05_a86_seg2_s10;51;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_01_09_a123_seg7_s17;21;;;;;;;;x;;;;;;;;;;;um;;;;;
NZZ_1993_06_05_a116_seg2_s4;11;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_06_11_a65_seg2_s27;31;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_06_18_a57_seg8_s7;5;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_05_06_a69_seg5_s5;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1993_03_05_a166_seg5_s4;14;;;x;;;;;;;;;;;;;;;inanim;;;;fragment;;
NZZ_1993_03_20_a74_seg6_s5;21;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_11_13_a111_seg16_s15;88;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_11_13_a111_seg16_s22;28;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_10_13_a94_seg9_s11;5;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_10_28_a56_seg4_s7;9;;;x;;;;;;;;;;;;;;;inanim;;;;STM_psych_noun;;
NZZ_1993_09_01_a145_seg3_s5;23;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_09_04_a131_seg3_s53;5;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1993_09_11_a126_seg3_s92;3;;;;;;;;x;;;;;;;;;;;um;;;;;
NZZ_1993_09_30_a123_seg2_s28;2;;;;;;;;x;;;;;;;;;;;vor;;;;;
NZZ_1994_04_02_a239_seg4_s47;17;;;x;;;;;;;;;;;;;;;ambiguous;;x;;;;adjunct control, anim?
NZZ_1994_04_09_a2_seg3_s7;12;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_coordination;;Volk, anim and anim_proxy experiencer in coordination
NZZ_1994_04_28_a108_seg3_s13;15;;;x;;;;;;;;;;;;;;;anim;;;;;;Familie
