NZZ_ID;Token_ID;not_of_interest;non-psych;X-STM_V_Y-EXP;X-STM_V;sein_V-PII;werden_V-PII;X_lassen_refl_V;X_V_refl;refl_V-PII_zeigen;NoAux_V-PII;Acc/Dat-EXP_V;wirken/scheinen_V-PII;X-CAUS_V_Y-EXP_PP;Nom-EXP_V;EXP_V_refl_Gen-STM;sein_zu-Inf;tough;Stimulus_Type;Stimulus_PP;Control;Other_stimulus_adjunct;Comment;Misc;Misc 2
NZZ_1993_07_27_a88_seg8_s9;3;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1993_04_03_a138_seg3_s1;12;;;x;;;;;;;;;;;;;;;inanim;;;;;;poetry
NZZ_1993_08_13_a9_seg6_s11;24;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_08_23_a121_seg3_s5;6;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_12_09_a36_seg3_s16;11;;;x;;;;;;;;;;;;;;;anim;;;;metaphoric_EXP;;
NZZ_1993_02_02_a1_seg8_s5;12;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb, EXP_anim_proxy;;country as EXP
NZZ_1993_01_28_a108_seg1_s8;7;;;;;;;;x;;;;;;;;;;;;;;ambiguous;transitive refl possible;could also be transitive  (and probably recrprocal then)
NZZ_1993_06_05_a74_seg1_s1;29;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_06_19_a8_seg6_s5;39;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_04_30_a235_seg3_s5;8;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1993_11_17_a78_seg3_s4;10;;;;;;;;x;;;;;;;;;;;über;;;EXP_anim_proxy;;
NZZ_1993_09_22_a161_seg9_s11;2;;;;;;;;x;;;;;;;;;;;;;;;wenn;
NZZ_1994_04_22_a177_seg8_s10;2;;;x;;;;;;;;;;;;;;;inanim;;;;non-phoric_es, STM_coordination;;
NZZ_1994_08_20_a119_seg22_s13;3;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_08_29_a114_seg2_s6;9;;;;;;;;x;;;;;;;;;;;;;;utterance_reading;;
NZZ_1994_12_10_a97_seg3_s17;4;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_02_24_a210_seg4_s2;30;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_01_14_a222_seg2_s1;16;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_07_22_a185_seg3_s11;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_05_09_a82_seg4_s6;19;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1994_03_07_a101_seg3_s21;3;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_03_09_a104_seg5_s16;8;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1994_03_21_a107_seg6_s9;3;;;x;;;;;;;;;;;;;;;inanim;;;;PA+A;;
NZZ_1994_11_24_a147_seg3_s10;17;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1994_10_31_a60_seg21_s9;21;;;;;;;;x;;;;;;;;;;;ob;;;EXP_anim_proxy;;
NZZ_1995_04_01_a213_seg4_s22;15;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1995_04_07_a167_seg7_s2;13;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_04_20_a157_seg4_s4;14;;;;;;;;x;;;;;;;;;;;;;x;EXP_anim_proxy;;
NZZ_1995_04_20_a158_seg4_s12;9;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_08_18_a153_seg10_s5;23;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_12_12_a142_seg11_s19;19;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_12_16_a127_seg2_s6;34;x;;;;;;;;;;;;;;;;;;;;;;Nominalisierter Infinitiv;bare infinitive
NZZ_1995_11_30_a177_seg7_s3;17;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_02_07_a169_seg2_s2;45;;;;;;;;x;;;;;;;;;;;über;;;;;generic EXP
NZZ_1995_02_18_a178_seg3_s22;2;;;;;;;;x;;;;;;;;;;;über;;;pronominal_adverb;;
NZZ_1995_07_08_a197_seg3_s11;7;;;;;;;;x;;;;;;;;;;;;;;idiomatic;;idiomatic resultative
NZZ_1995_07_26_a136_seg3_s10;3;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_06_06_a165_seg2_s10;12;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1995_06_22_a159_seg2_s3;14;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1995_03_07_a212_seg4_s1;21;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_03_15_a3_seg2_s9;3;;;x;;;;;;;;;;;;;;;inanim;;;;EXP_anim_proxy;;
NZZ_1995_03_20_a146_seg8_s5;2;;;;;;;;x;;;;;;;;;;;;;x;;;
NZZ_1995_11_07_a159_seg3_s38;16;;;;;;;;x;;;;;;;;;;;über;;;EXP_coordination;;Publikum
NZZ_1995_11_21_a105_seg3_s13;4;;;;x;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_10_05_a193_seg5_s5;5;;;;;;;;x;;;;;;;;;;;;;;;;als
NZZ_1995_10_14_a39_seg3_s20;23;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_10_14_a209_seg2_s1;12;;;;;;;;x;;;;;;;;;;;;;;;;
NZZ_1995_10_20_a122_seg6_s25;10;;;;;;;;x;;;;;;;;;;;über;;;;;utterance meaning (ins Telefon hinein)
NZZ_1995_10_21_a179_seg3_s113;2;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_10_25_a85_seg8_s4;6;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1995_09_18_a96_seg3_s17;3;;;x;;;;;;;;;;;;;;;inanim;;;;;;
NZZ_1995_09_20_a174_seg3_s11;2;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1995_09_25_a270_seg8_s5;4;;;x;;;;;;;;;;;;;;;anim;;;;EXP_anim_proxy;;
NZZ_1996_04_09_a158_seg9_s4;5;;;;;;;;x;;;;;;;;;;;über;;;EXP_anim_proxy;;
NZZ_1996_04_22_a131_seg6_s7;9;;;;;;;;x;;;;;;;;;;;;;;utterance_reading;;indirect quotation
NZZ_1996_04_23_a247_seg3_s6;13;;;;;;;;x;;;;;;;;;;;über;;;ungrammatical;;
NZZ_1996_08_05_a112_seg6_s5;2;;;x;;;;;;;;;;;;;;;ambiguous;;;;;;
NZZ_1996_08_06_a180_seg4_s4;16;;;x;;;;;;;;;;;;;;;propositional;;;;;;
NZZ_1996_08_10_a185_seg3_s72;14;;;;;;;;x;;;;;;;;;;;über;;;;;
NZZ_1996_12_03_a136_seg7_s6;7;;;;;;;;x;;;;;;;;;;;;;x;;;generic EXP
