Verb,NZZ_ID,Token_ID,Sentence,pattern,Stimulus_Type,Stimulus_PP,Comment,sem_class_subj,sem_class_PP_int,interpr_sem_class_PP_int,det_PP_int,Comment_PP
amüsieren,NZZ_1995_10_30_a93_seg7_s3,8,"( Als alkoholgetränkter Jammerlappen im zweiten Teil amüsiert er dann leider weniger ; überhaupt : während der Grossen Desillusion , wenn das Melodram mit Wucht durchbricht und sich Mord- und Selbstmordversuche häufen , lacht man höchstens noch über die unfreiwillige schwarze Komödie . )",X-STM_V,anim,als,,human,"human,abstract_obj",property,no_det,(part of) piece of art
amüsieren,NZZ_1996_04_13_a226_seg7_s4,23,"1953 pilgerten wir zu Hans Hoffmann , dem ersten Architekturlehrer an der Salzburger Sommerakademie , der uns vorwiegend mit altem Schweizer Understatement amüsierte .",X-STM_V_Y-EXP,anim,mit,,human,property,,,
amüsieren,NZZ_1996_05_13_a111_seg5_s2,3,Zum Abschluss amüsierten zwei Frauen mit selbstironischer Respektlosigkeit .,X-STM_V,anim,mit,ambiguous,human,property,,,
amüsieren,NZZ_1995_02_11_a117_seg3_s7,9,"Die melancholischen , zart ironischen Gespräche und Selbstgespräche amüsieren durch ihre launischen Einfälle sowie die ausgefallenen Situationen , in welche die Personen durch ihre übergrosse Empfindsamkeit geführt werden .",X-STM_V,inanim,durch,,event/event,abstract_obj/abstract_obj,,det_coref_subj/det,
amüsieren,NZZ_1996_06_14_a152_seg3_s5,21,Das Programm von 20 Uhr 30 bis punkt 22 Uhr vermag mit einer Reihe von Einlagen zu unterhalten und zu amüsieren .,X-STM_V,inanim,mit,,"abstract_obj,event",abstract_obj,property,,
amüsieren,NZZ_1996_09_11_a105_seg7_s9,29,"Die Komposition von Bewegung , Licht , Dekor , Ton und ( musikalisch eingesetzter ) Sprache sprengte den abgenützten Begriff des Bildtheaters ; das als unspielbar qualifizierte Stück amüsierte - trotz gefährlichen Tiefgründen - mit einem Geistreichtum , welcher der Autorin alle Ehre macht .",X-STM_V,inanim,mit,,"abstract_obj,event",property,,,(part of) piece of art
ängstigen,NZZ_1994_03_15_a124_seg2_s6,35,"Die Unfallserie begann laut dem Zuger Polizeikommando in Cham , wo der Täter das beschädigte mütterliche Auto verliess und sich in einen fremden Wagen setzte , der gerade aufgetankt wurde - mit einem Blitzstart ängstigte er nicht nur den Besitzer , sondern riss auch den Zapfschlauch aus dem Einfüllstutzen .",X-STM_V_Y-EXP,anim,mit,,human,event(action),,,
ängstigen,NZZ_1995_07_10_a100_seg3_s8,10,"Eher von der Lust an der Provokation getrieben , ängstigt er damit doch seine kleine Schwester , die für einen Teil der Handlung als Ich-Erzählerin fungiert .",X-STM_V_Y-EXP,anim,mit,pronominal_adverb,human,"ambiguous,event(action)",,,
ängstigen,NZZ_1996_11_29_a192_seg14_s11,45,"Das spürt man selbst bei der « Berliner Morgenpost » ( 170 000 Exemplare ) , die am ehesten den Typ der Regionalzeitung verkörpert und sehr bunt und aufwendig bebildert daherkommt und ihre Leser mit täglichen Geschichten über die überbordende Kriminalität in der Stadt ängstigt .",X-STM_V_Y-EXP,anim_proxy,mit,,anim_proxy,abstract_obj,,,utterance
ängstigen,NZZ_1997_08_30_a115_seg8_s5,25,"Es gibt aber auch einige Neue oder erst wenig Gezeigte : die Medizinfrau Ute Schröder , die auf Ibiza ihre Nachbarn mit bizarren Fetischen ängstigt , und den Christbaumorgiastiker Emery Blagdon , der in Nebraska aus gleissendem Tand eine « machine à guérir » gebastelt hat .",X-STM_V_Y-EXP,anim,mit,,human,"concrete_obj,abstract_obj",,,ambiguous
ängstigen,NZZ_1999_07_16_a204_seg3_s14,25,"Diese statistischen Feststellungen haben einen Hintergrund , der seit der Alpe d ' Huez alle Tour-Begleiter wegen des beinahe 8-Minuten-Vorsprungs Armstrongs auf seine Konkurrenten ängstigt .",X-STM_V_Y-EXP,inanim,wegen,,abstract_obj,abstract_obj,property,,
ärgern,NZZ_1996_02_20_a163_seg2_s7,7,"Was mich am Lötschberg am meisten ärgert , ist , dass man sich der Gefahr des noch grösser werdenden Röstigrabens bedient , um uns den Lötschberg schmackhaft zu machen und dem Welschland zu schmeicheln , um so seine Zustimmung zum Lötschberg zu erhalten .",X-STM_V_Y-EXP,propositional,an,,abstract_obj,"locative,concrete_obj",abstract_obj,,
ärgern,NZZ_1997_07_25_a45_seg3_s11,36,"Vorab in südlichen und ländlichen Medienerzeugnissen erregte man sich gleichzeitig über den als dekadent bezeichneten Lebensstil der Homosexuellen , die wieder einmal für alles haftbar gemacht wurden , was den sogenannten Durchschnittsamerikaner an seinem Land ärgert .",X-STM_V_Y-EXP,ambiguous,an,,ambiguous,"locative,abstract_obj",,det_coref_subj,
ärgern,NZZ_1999_06_11_a157_seg10_s14,5,"« Lehrer und Schüler ärgern sich gegenseitig , schon durch ihre Anwesenheit » , heisst es in einem Zeitungsbericht .",X-STM_V_Y-EXP,anim,durch,"reciprocal, STM_coordination",human,state,,det_coref_subj,
ärgern,NZZ_1999_06_24_a47_seg17_s6,13,"Der Bau hat nicht durchwegs Begeisterung gefunden , aber noch etwas mehr ärgerte Julen manche Zermatter mit dem Kunstwerk « Überfluss » , das er seinem Kulturzentrum gegenüber , das selbst eine « Inszenierung » ist , als « Geschenk an die Bevölkerung » aufstellte : drei alte , von vier Stangen getragene Lavabos , über deren Ränder Wasser plätschert .",X-STM_V_Y-EXP,anim,mit,,human,concrete_obj,,,(part of) piece of art
ärgern,NZZ_1998_05_29_a232_seg10_s10,12,An der Kommerzialisierung - auch der Selbstkommerzialisierung der öffentlichen Veranstalter - ärgerte sie die damit verbundene Nivellierung und Zuschauerverachtung .,X-STM_V_Y-EXP,inanim,an,STM_coordination,property/property,event(action),,,
ärgern,NZZ_1999_08_21_a159_seg3_s11,31,"Wörter wie « frohgemut » , Bildungen wie « rosenfingriges Licht » heischen um poetische und traditionsehrwürdige Noblesse - wo sie mit Vorbedacht gemacht , nicht jedoch gedacht sind , ärgern sie als Talmi des literarischen Parvenüs .",X-STM_V,inanim,als,,abstract_obj,abstract_obj,property,no_det,
auffallen,NZZ_1993_07_08_a119_seg1_s40,23,"Und dann möchte er nur einer von den vielen sein , die die gleiche Sprache sprechen , nicht immer mit etwas Fremden auffallen .",X-STM_V,anim,mit,,human,abstract_obj,property,,
auffallen,NZZ_1993_07_08_a43_seg2_s18,4,"Um so mehr fällt an Ruth Liepmans Lebensbericht auf , wie vollkommen uneitel sie erzählt .",X-STM_V,propositional,an,,"event(action),property",abstract_obj,,,
auffallen,NZZ_1993_07_28_a135_seg2_s2,10,Der Autofahrer war einer Streifenwagenpatrouille durch seine ungewöhnliche Fahrweise aufgefallen .,X-STM_V_Y-EXP,anim,durch,,human,abstract_obj,property,det_coref_subj,
auffallen,NZZ_1993_08_30_a37_seg6_s7,7,"Beide waren weder durch besondere Frömmigkeit aufgefallen , noch hatte man sie bisher für würdig befunden , zur ersten heiligen Kommunion zu gehen .",X-STM_V,anim,durch,,human,property,,,
auffallen,NZZ_1993_10_13_a94_seg11_s5,11,"Nur in Portugal vermochte das Team zu überzeugen , sonst fiel es vor allem durch viele personelle Wechsel und Experimente auf und dadurch , dass es den taktischen Vorstellungen des Verantwortlichen nicht gerecht zu werden vermochte .",X-STM_V,anim_proxy,durch,,anim_proxy,event(action)/event(action)+abstract_obj,event(action)/event(action)+property,,
auffallen,NZZ_1994_10_15_a192_seg3_s18,2,Da fällt man mit fremdländischem Esswerkzeug natürlich auf .,X-STM_V,anim,mit,,human,concrete_obj,,,
auffallen,NZZ_1995_02_27_a128_seg3_s9,6,"Denn bis zu diesem Zeitpunkt fiel der Bulgare lediglich durch gut kaschierte Lustlosigkeit auf , der das Fighten , Laufen und Rochieren anderen überliess .",X-STM_V,anim,durch,,human,property,,,
auffallen,NZZ_1995_03_01_a134_seg3_s24,6,"In der Abwehr von P-SG fällt auf , dass durch die angetönte Absenz Ricardos klar an Stabilität verloren ging .",X-STM_V,propositional,in,,abstract_obj,anim_proxy,,,
auffallen,NZZ_1995_03_24_a64_seg3_s6,30,"Sodann wurde am Donnerstag in der Nähe der westjapanischen Stadt Hikone nach einer wilden Verfolgungsjagd der Lenker eines Wagens festgenommen , der den Polizisten wegen des Missachten eines Rotlichtsignals aufgefallen war .",X-STM_V_Y-EXP,anim,wegen,,human,event(action),,,
auffallen,NZZ_1995_07_12_a125_seg4_s15,15,"Ist jemand in der Nacht auf Montag , 10. Juli , mit blutverschmierten Kleidern aufgefallen ?",X-STM_V,anim,mit,,human,concrete_obj,property,,
auffallen,NZZ_1995_09_04_a23_seg6_s10,16,"Daneben findet ein Warenjahrmarkt statt , an dem auch Konkurrenten der Computerindustrie durch massive Dienstleistungsangebote auffallen wollen .",X-STM_V,anim,durch,,human,event(action),,,
auffallen,NZZ_1995_09_28_a194_seg9_s1,33,"Wenn sich die Equipe vielleicht erstmals in dieser national eher verknorzten Saison ausgerechnet in den beiden Partien gegen Inter durch Stilsicherheit auszuzeichnen wusste , durch die gute Ergänzung der Aufgabenverteilung und Homogenität auffiel , so lag dies nicht nur am taktischen Konzept des Trainers Morinini .",X-STM_V,anim_proxy,durch,,anim_proxy,event(action)/property,,,
auffallen,NZZ_1995_11_18_a196_seg4_s99,6,"Die 12jährige Mária Bogdán beispielsweise fällt in der Klasse zwar durch ihr vorlautes Benehmen auf , womit sie Lehrer und Erzieher manchmal irritiert .",X-STM_V,anim,durch,,human,event(action),property,det_coref_subj,
auffallen,NZZ_1996_07_17_a54_seg2_s17,11,Der Rentner war dem Verkaufspersonal bereits früher als mutmasslicher Ladendieb aufgefallen .,X-STM_V_Y-EXP,anim,als,,human,human,property,no_det,
auffallen,NZZ_1996_07_18_a22_seg5_s2,14,"Das ist natürlich noch etwas übertrieben , doch in der Halbzeit der Legislatur fällt diesmal in der Tat auf , wie wenig die sonst zu diesem Zeitpunkt der Regierungsroutine gewöhnlicherweise im Vorteil befindliche Opposition das Feld beherrscht .",X-STM_V,propositional,in,,property,temporal,,,
auffallen,NZZ_1996_07_26_a80_seg8_s7,2,Saurer fällt dagegen durch eine insgesamt sehr geringe Währungssensitivität auf .,X-STM_V,anim,durch,,human,property,,,
auffallen,NZZ_1996_11_22_a152_seg12_s12,12,"Diese Betriebe sind noch nie als Geldwäscher- , Milieu- oder Dealertreffpunkte aufgefallen und werden in der Regel von Berufsleuten mit Meisterprüfungen geführt .",X-STM_V,anim_proxy,als,,anim_proxy,locative/locative/locative,property,,
auffallen,NZZ_1996_11_28_a170_seg12_s4,2,Sie fielen durch eine unsichere Fahrweise auf .,X-STM_V,anim,durch,,human,abstract_obj,property,,
auffallen,NZZ_1996_12_05_a99_seg2_s2,9,Im Optionensegment seien einzig SBG mit grösseren Umsätzen aufgefallen .,X-STM_V,anim_proxy,mit,,anim_proxy,abstract_obj,property,,
auffallen,NZZ_1997_03_18_a172_seg2_s18,2,"Collymore fiel durch Disziplinlosigkeit auf , verpasste einige Male das Training , und jetzt wird er von anderen Klubs umworben .",X-STM_V,anim,durch,,human,property,,,
auffallen,NZZ_1997_12_01_a111_seg4_s3,2,"Es fällt durch eine farblich raffinierte , fröhlich wirkende Gestaltung auf , welche das Angebot widerspiegelt : modernes Design mit urbanem , jedoch kunsthandwerklichem Charakter .",X-STM_V,ambiguous,durch,,ambiguous,"property,abstract_obj",property,,
auffallen,NZZ_1998_05_05_a137_seg2_s3,19,Zum erstenmal war Antonaros 1942 als scharfer Beobachter der deutschen Besatzer in einer sonst zum Schweigen genötigten Presse aufgefallen .,X-STM_V_Y-EXP,anim,als,,human,human,property,no_det,
auffallen,NZZ_1998_12_23_a33_seg8_s4,20,"Marty , der schon vor vier Jahren im Gespräch war , aber bei Wahlen bisher nicht durch grosse Risikofreudigkeit aufgefallen ist , will sich bis Ende Februar entschieden haben .",X-STM_V,anim,durch,,human,property,,,
auffallen,NZZ_1999_09_14_a298_seg3_s5,33,"Seit mehr als 20 Jahren politisiert der linksalternative Scherr im Zürcher Gemeinderat , 1978 bis 1990 für die Poch , seither für die AL , wo er stets durch Engagement und Beharrlichkeit auffällt , was von politischen Gegnern bisweilen als Starrsinn und Dickköpfigkeit interpretiert wird .",X-STM_V,anim,durch,,human,event(action)/property,property/property,,
auffallen,NZZ_1999_12_16_a10_seg4_s7,13,"Gabriel war bisher in der niedersächsischen Landespolitik vor allem als rhetorisches Talent aufgefallen , das trotz seiner prinzipiellen Nähe zum früheren Ministerpräsidenten Schröder den Konflikt mit dem Regierungschef keineswegs scheute .",X-STM_V,anim,als,,human,human,property,no_det,
auffallen,NZZ_1994_03_09_a38_seg5_s1,20,"Mit Luxemburg hat die Schweiz ein ausgewogenes Doppelbesteuerungsabkommen klassischen Zuschnitts abgeschlossen , das namentlich durch seine tief gehaltenen Quellensteuersätze auffällt .",X-STM_V,inanim,durch,,abstract_obj,abstract_obj,property,det_coref_subj,
auffallen,NZZ_1994_08_02_a118_seg4_s5,16,Der Polizeipatrouille war das Auto zwischen Thalwil und Horgen wegen der unsicheren Fahrweise des Lenkers aufgefallen .,X-STM_V_Y-EXP,inanim,wegen,,concrete_obj,property,,,
auffallen,NZZ_1995_09_05_a192_seg2_s13,21,"Der Cityschuh schmückt sich oft mit Lochgarnituren , Spangen und Flügelkappen , während der Halfboot durch zweierlei Leder oder Elastikeinsätze auffällt .",X-STM_V,inanim,durch,,concrete_obj,concrete_obj/concrete_obj,property/property,,
auffallen,NZZ_1996_01_18_a96_seg2_s9,5,Im Segment der Finanzwerte fielen die SBG-Valoren durch überdurchschnittliche Verluste auf .,X-STM_V,inanim,durch,,abstract_obj,"abstract_obj,event",property,,
auffallen,NZZ_1996_03_19_a153_seg3_s7,16,"Die gemischten Meerfische vom Grill , unter denen sich auch ein paar Muscheln tummelten , fielen weniger durch ihren Geschmack auf als dadurch , dass sie lauwarm serviert wurden ( Fr. 52.- ) .",X-STM_V,inanim,durch,,concrete_obj,abstract_obj+abstract_obj,property+property,det_coref_subj+,
auffallen,NZZ_1996_07_31_a96_seg2_s11,4,Durch überdurchschnittliche Kursrückgänge fielen die Genussscheine der Roche und die Papiere der Surveillance auf .,X-STM_V,inanim,durch,,abstract_obj/abstract_obj,event,property,,
auffallen,NZZ_1997_02_24_a59_seg12_s11,5,Durch einen hohen Coupon fiel im D-Mark-Sektor die Anleihe der Russian Investments auf .,X-STM_V,inanim,durch,,abstract_obj,"event,abstract_obj",property,,
auffallen,NZZ_1997_05_09_a126_seg3_s14,11,"- Beethovens Klavierkonzert Nr. 4 zu Beginn mit Gerhard Oppitz fiel dadurch auf , dass es nicht sonderlich auffiel .",X-STM_V,inanim,durch,pronominal_adverb,event,abstract_obj,property,,(part of) piece of art
auffallen,NZZ_1997_06_04_a102_seg2_s12,2,Schliesslich fielen auch die Papiere von Sulzer und Holderbank durch festere Kurse auf .,X-STM_V,inanim,durch,,abstract_obj,abstract_obj,property,,
auffallen,NZZ_1997_08_30_a104_seg2_s12,4,"Bei den Industriewerten fielen die Aktien von Oerlikon-Bührle durch einen Anstieg um 2,84% auf .",X-STM_V,inanim,durch,,abstract_obj,event,property,,
auffallen,NZZ_1998_09_21_a63_seg4_s15,29,"Ein Mangel , mit dem er sich schwertue - zumal in seiner langjährigen Management-Karriere , wie er schmunzelnd beifügt , die französischen Unternehmensteile immer mit der schwächsten Performance aufzufallen pflegten .",X-STM_V,inanim,mit,,abstract_obj,"property,event(action)",property,,
auffallen,NZZ_1998_12_29_a125_seg4_s1,6,"Was an John Edgar Wideman auffällt - nicht sofort , beim zweiten , dritten Hinsehen erst - , ist die lautlose , dauernde Unrast der Hände .",X-STM_V,inanim,an,,property,human,,,
auffallen,NZZ_1999_02_15_a150_seg3_s8,22,"« So genau , so angenehm , so richtig soll ich meinen Einband machen , dass er durch gar nichts Besonderes auffällt » , lautet Zeiers Devise .",X-STM_V,inanim,durch,,concrete_obj,property,,,
auffallen,NZZ_1999_07_03_a176_seg2_s2,21,"Andreas Nebelungs Arbeit zur Thematik einer ökologischen Soziologie überrascht auf dem Vorsatzblatt mit einer Inhaltsübersicht , die durch ihre Unkonventionalität auffällt .",X-STM_V,inanim,durch,,abstract_obj,property,,det_coref_subj,
auffallen,NZZ_1999_10_20_a157_seg8_s1,3,Beim CLA-Neubau fällt der heterogene Ausdruck auf : die Westseite mit dem gläsernen Brise-soleil bleibt für mich unverständlich  die Fassade an der Clausiusstrasse mit den Hochfenstern und den ruhigen Zinkbändern erinnert an frühere Bauten Ihres Büros .,X-STM_V,inanim,bei,,concrete_obj,abstract_obj,property,,
aufstoßen,NZZ_1995_12_12_a40_seg12_s2,9,"Was der Bundeskasse beträchtliche Mehreinnahmen gebracht hätte , stiess dem Volk und den bürgerlichen Parteien als « Preisbombe auf Kosten von Mietern und Autofahrern » ( « Blick » ) sauer auf .",X-STM_V_Y-EXP,ambiguous,als,"collocation, EXP_coordination",ambiguous,abstract_obj,property,,
aufwühlen,NZZ_1999_05_14_a87_seg4_s6,45,"Desgleichen scheute er als erfahrener Investmentbanker davor zurück , die internationalen Finanzmärkte , die durch die Asien-Krise , durch das Chaos in Russland und zuletzt durch die Schwierigkeiten in Brasilien hochgradig nervös und verunsichert waren , nicht noch weiter mit einem Wachwechsel in Washington aufzuwühlen .",X-STM_V_Y-EXP,anim,mit,EXP_anim_proxy,human,event(action),,,
aufwühlen,NZZ_1999_03_16_a156_seg3_s12,10,"So versuchen Grossmans Figuren , sich mit ihren Briefen aufzuwühlen , befragen sich selbst und ihr Leben und bleiben dabei merkwürdig konturlos .",X-STM_V_Y-EXP,anim,mit,,human,"concrete_obj,abstract_obj",,det_coref_subj,
aufwühlen,NZZ_1996_11_22_a57_seg3_s7,42,"Die Katastrophe , die sich in einem über 20 Jahre alten Gebäude in einem der überfüllten Blocks an Kowloons Nathan Road ereignete , hat die Bewohner Hongkongs auch wegen der dramatischen Bilder , die vom Fernsehen direkt übermittelt wurden , stark aufgewühlt .",X-STM_V_Y-EXP,inanim,wegen,,event,abstract_obj,,,
bedrücken,NZZ_1995_06_28_a172_seg4_s12,3,Lange Schlechtwetterperioden bedrückten ihn der Frequenzausfälle wegen .,X-STM_V_Y-EXP,inanim,wegen,,event,event,,,
bedrücken,NZZ_1999_10_29_a141_seg4_s33,3,"Viele Filme bedrücken in ihrer eindringlichen Dokumentation von postkolonialem Elend , von Armut und Entfremdung .",X-STM_V,inanim,in,,abstract_obj,event(action),property,det_coref_subj,(part of) piece of art
beeindrucken,NZZ_1993_01_30_a109_seg3_s20,13,"Hinzu kam , dass Stich mit dem Aufschlag den Gegner nur selten beeindrucken konnte .",X-STM_V_Y-EXP,anim,mit,,human,event(action),,,
beeindrucken,NZZ_1993_02_13_a216_seg2_s20,7,"Bereits vor dem Auftritt Cui Jians beeindruckt die Band des kräftigen Keyboarders Zang Tianshuo mit ihrem synthesizerlastigen Sound , funkigen Bässen und perkussiven Rhythmen , die an den traditionellen amerikanischen Album-Rock von Foreigner oder Bob Seger ' s Silver Bullet Band erinnert .",X-STM_V,anim_proxy,mit,,anim_proxy,abstract_obj/abstract_obj/abstract_obj,property/property/property,det_coref_subj//,
beeindrucken,NZZ_1993_02_23_a17_seg5_s1,2,"Lecanuet beeindruckte im Wahlkampf nicht nur durch seine rednerischen Qualitäten und seine Argumente , sondern vor allem auch durch einen Wahlkampfstil à l ' américaine , wie die französischen Journalisten sagten .",X-STM_V,anim,durch,,human,property/abstract_obj,,det_coref_subj/det_coref_subj,utterance
