Verb;Translation
amüsieren;to amuse
anekeln;to sicken
ängstigen;to frighten
anwidern;to disgust
ärgern;to anger
auffallen;to strike
aufstoßen;to strike (neg.)
aufwühlen;to stir up
ausreichen;to suffice
bedrücken;to distress, depress
beeindrucken;to impress
befremden;to alienate
begeistern;to thrill, enthuse
behagen;to please
bekümmern;to concern, chagrin
beruhigen;to calm
beschämen;to shame
beunruhigen;to worry
bewegen;to move
bezaubern;to charm
deprimieren;to depress
einleuchten;to be evident
einschüchtern;to intimidate
ekeln;to disgust
empören;to outrage
entmutigen;to discourage
entzücken;to delight
erfreuen;to enjoy, delight
erheitern;to cheer, brighten
erschrecken;to startle
faszinieren;to fascinate
freuen;to please, be glad
frustrieren;to frustrate
gefallen;to like
genügen;to suffice
guttun;to benefit, comfort
imponieren;to impress
interessieren;to interest
irritieren;to irritate, confuse
langweilen;to bore
leidttun;to feel sorry
missfallen;to displease
nahegehen;to afflict, upset
nerven;to bother
peinigen;to tantalise
plagen;to plague
provozieren;to provoke
quälen;to torment
schmeicheln;to flatter
schockieren;to shock
schwerfallen;to find difficult
stören;to disturb, bother
überfordern;to be too much, overwhelm
verängstigen;to frighten
verärgern;to annoy
verblüffen;to flabbergast
verschrecken;to scare
verstören;to distract, distress
verwirren;to confuse
verwundern;to astonish
widerstreben;to oppose, have an aversion
wundern;to wonder
zermürben;to demoralize, grind
zusetzen;to badger, harass
